gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Mean TFH	Mean TH1	TFH:TFH_Rep1	TFH:TFH_Rep2	TH1:TH1_Rep1	TH1:TH1_Rep2
0610007C21Rik	269.48	-0.5	0.25	-1.98	0.048	0.16	218.81	320.16	204.22	233.39	358.5	281.81
0610007L01Rik	2805.15	-0.13	0.18	-0.72	0.47	0.68	2674.55	2935.74	2720.31	2628.79	3276.59	2594.89
0610007P08Rik	838.2	0.27	0.2	1.4	0.16	0.35	921.42	754.99	846.26	996.59	769.44	740.53
0610007P14Rik	1849.8	0.19	0.23	0.84	0.4	0.62	1980.59	1719.02	2048.91	1912.27	2172.92	1265.12
0610007P22Rik	496.02	-0.62	0.25	-2.48	0.013	0.061	380.31	611.73	372.41	388.21	452.43	771.03
0610009B22Rik	112.17	-0.12	0.32	-0.37	0.71	0.84	106.62	117.73	93.44	119.81	135.42	100.04
0610009D07Rik	1255.29	-0.11	0.22	-0.49	0.63	0.79	1207.67	1302.92	1250.7	1164.63	1583.5	1022.34
0610009O20Rik	1058.03	-0.11	0.19	-0.56	0.57	0.76	1015.11	1100.95	978.4	1051.83	983.13	1218.76
0610010B08Rik	1.86	0.05	0.3	0.16	0.87	2	2.11	1.61	2.67	1.56	0.78	2.44
0610010F05Rik	457.29	0.13	0.23	0.57	0.57	0.75	479.32	435.27	459.17	499.46	492.35	378.19
0610010K14Rik	1024.64	-0.16	0.22	-0.7	0.48	0.69	965.51	1083.77	882.3	1048.71	1311.11	856.42
0610010O12Rik	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
0610011F06Rik	164.23	-0.04	0.28	-0.15	0.88	0.94	161.27	167.2	152.17	170.38	163.59	170.8
0610011L14Rik	947.7	0.2	0.19	1.04	0.3	0.52	1015.11	880.29	969.06	1061.16	912.69	847.88
0610012G03Rik	238.42	-0.6	0.29	-2.1	0.035	0.13	182.56	294.28	172.19	192.94	215.26	373.31
0610030E20Rik	1984.16	0.15	0.18	0.83	0.41	0.62	2090.08	1878.24	2107.64	2072.53	1703.27	2053.22
0610031J06Rik	2059.59	-0.24	0.17	-1.39	0.16	0.36	1881.2	2237.98	1990.18	1772.23	2315.38	2160.58
0610037L13Rik	351.79	-0.19	0.23	-0.84	0.4	0.62	326.61	376.97	316.35	336.86	364.76	389.17
0610037P05Rik	755.44	0.08	0.2	0.41	0.69	0.83	777.5	733.38	710.11	844.88	761.62	705.15
0610038B21Rik	3.5	-0.12	0.36	-0.33	0.74	2	2.78	4.22	4	1.56	2.35	6.1
0610039K10Rik	0.89	-0.02	0.21	-0.08	0.94	2	0.78	1	0	1.56	0.78	1.22
0610040B10Rik	19.34	0.07	0.45	0.15	0.88	2	20.24	18.45	18.69	21.78	23.48	13.42
0610040J01Rik	0.61	-0.1	0.16	-0.6	0.55	2	0	1.22	0	0	0	2.44
0910001L09Rik	871.11	-0.73	0.2	-3.62	3.00E-04	0.0029	644.66	1097.56	642.04	647.28	969.05	1226.08
1100001G20Rik	1.41	-0.16	0.24	-0.65	0.51	2	0.39	2.44	0	0.78	0	4.88
1110001A16Rik	114.5	0.13	0.32	0.4	0.69	0.83	120.63	108.37	112.12	129.14	125.24	91.5
1110001J03Rik	58.39	0.08	0.41	0.2	0.84	0.92	60.87	55.91	49.39	72.35	83.75	28.06
1110002B05Rik	1017.06	-0.24	0.2	-1.2	0.23	0.44	927.89	1106.23	890.31	965.47	972.96	1239.5
1110002L01Rik	54.81	0.45	0.39	1.17	0.24	0.45	65.65	43.97	57.4	73.91	39.14	48.8
1110002N22Rik	97.98	0.68	0.33	2.08	0.038	0.13	124.58	71.39	116.13	133.03	72.01	70.76
1110003E01Rik	484.91	0.01	0.24	0.05	0.96	0.98	487.88	481.93	487.2	488.57	591.76	372.09
1110004E09Rik	298.01	0.08	0.24	0.31	0.75	0.87	306.09	289.93	296.32	315.86	261.44	318.41
1110004F10Rik	1965.82	0.13	0.18	0.72	0.47	0.68	2056.86	1874.77	1996.85	2116.88	1693.87	2055.66
1110005A03Rik	1030.51	0.16	0.19	0.85	0.4	0.61	1090.84	970.17	1069.17	1112.51	1047.32	893.02
1110006O24Rik	20.17	-0.3	0.45	-0.67	0.5	2	16.62	23.72	20.02	13.23	24.27	23.18
1110007A13Rik	5219.45	0.29	0.16	1.8	0.072	0.2	5756.65	4682.25	5596.79	5916.52	4645.63	4718.88
1110007C09Rik	284.63	-1.52	0.25	-6.15	8.00E-10	2.60E-08	137.76	431.49	149.5	126.03	435.99	426.99
1110008F13Rik	319.21	-0.84	0.24	-3.54	4.00E-04	0.0038	221.92	416.5	213.57	230.28	391.38	441.63
1110008J03Rik	61.04	-0.21	0.38	-0.56	0.58	0.76	55.03	67.05	49.39	60.68	54.79	79.3
1110008L16Rik	261.84	0.52	0.27	1.89	0.058	0.18	314.26	209.41	305.67	322.86	261.44	157.38
1110008P14Rik	607.67	-1.06	0.21	-4.97	6.70E-07	1.30E-05	383.72	831.62	429.8	337.64	822.67	840.56
1110012D08Rik	78.87	-0.26	0.36	-0.71	0.48	0.68	70.27	87.46	81.42	59.13	71.23	103.7
