	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
0610007C21Rik	153	300	458	231
0610007L01Rik	2038	3379	4186	2127
0610007P08Rik	634	1281	983	607
0610007P14Rik	1535	2458	2776	1037
0610007P22Rik	279	499	578	632
0610009B22Rik	70	154	173	82
0610009D07Rik	937	1497	2023	838
0610009O20Rik	733	1352	1256	999
0610010B08Rik	2	2	1	2
0610010F05Rik	344	642	629	310
0610010K14Rik	661	1348	1675	702
0610010O12Rik	0	0	1	0
0610011F06Rik	114	219	209	140
0610011L14Rik	726	1364	1166	695
0610012G03Rik	129	248	275	306
0610030E20Rik	1579	2664	2176	1683
0610031J06Rik	1491	2278	2958	1771
0610037L13Rik	237	433	466	319
0610037P05Rik	532	1086	973	578
0610038B21Rik	3	2	3	5
0610039K10Rik	0	2	1	1
0610040B10Rik	14	28	30	11
0610040J01Rik	0	0	0	2
0910001L09Rik	481	832	1238	1005
1100001G20Rik	0	1	0	4
1110001A16Rik	84	166	160	75
1110001J03Rik	37	93	107	23
1110002B05Rik	667	1241	1243	1016
1110002L01Rik	43	95	50	40
1110002N22Rik	87	171	92	58
1110003E01Rik	365	628	756	305
1110004E09Rik	222	406	334	261
1110004F10Rik	1496	2721	2164	1685
1110005A03Rik	801	1430	1338	732
1110006O24Rik	15	17	31	19
1110007A13Rik	4193	7605	5935	3868
1110007C09Rik	112	162	557	350
1110008F13Rik	160	296	500	362
1110008J03Rik	37	78	70	65
1110008L16Rik	229	415	334	129
1110008P14Rik	322	434	1051	689
1110012D08Rik	61	76	91	85
1110012J17Rik	0	2	1	0
1110012L19Rik	181	310	257	140
1110014N23Rik	790	1384	1263	883
1110017D15Rik	2	0	0	1
1110017F19Rik	3	3	8	3
1110018G07Rik	3915	6208	4643	3382
1110018J18Rik	105	214	288	151
1110020A21Rik	4	9	12	4
1110020G09Rik	395	830	433	348
1110021J02Rik	500	729	801	456
1110021L09Rik	4	16	12	11
1110028C15Rik	206	350	502	179
1110031I02Rik	34	67	84	99
1110032A03Rik	42	36	61	15
1110032F04Rik	158	230	106	61
1110034A24Rik	430	634	721	430
1110034B05Rik	184	340	315	159
1110034G24Rik	165	279	178	125
1110037F02Rik	3840	6907	6602	4458
1110038B12Rik	178	359	233	165
1110038D17Rik	460	934	1091	812
1110038F14Rik	206	326	400	293
1110049F12Rik	590	1142	1078	575
1110051M20Rik	79	207	116	42
1110054O05Rik	571	1025	826	737
1110057K04Rik	1100	2129	1614	807
1110058L19Rik	125	259	239	105
1110059E24Rik	500	743	862	580
1110059G10Rik	236	365	372	242
1110065P20Rik	43	82	78	111
1110067D22Rik	247	464	477	306
1190002H23Rik	181	542	124	57
1190002N15Rik	681	1212	1287	775
1190003J15Rik	0	0	0	0
1190005F20Rik	1351	2438	1813	920
1190005I06Rik	3	5	6	9
1190007F08Rik	0	5	1	2
1190007I07Rik	30	71	59	21
1200009I06Rik	0	0	0	4
1200011I18Rik	1516	2756	2277	1197
1200011M11Rik	516	993	923	704
1200014J11Rik	1477	2464	2601	2118
1200016B10Rik	422	789	774	480
1300001I01Rik	1429	2369	2033	1481
1300002K09Rik	0	0	0	1
1300010F03Rik	490	867	643	410
1300014I06Rik	0	0	1	11
1300017J02Rik	0	0	0	1
1300018I17Rik	312	526	401	300
1300018J18Rik	315	488	333	240
1500001M20Rik	196	322	417	236
1500002O20Rik	533	913	1058	563
1500003O03Rik	2153	3465	3823	2568
1500004A13Rik	134	212	201	127
1500009L16Rik	112	163	2973	2412
1500010J02Rik	1323	2189	2466	1634
1500011B03Rik	264	408	423	260
1500011H22Rik	620	1024	665	352
1500011K16Rik	38	72	40	59
1500012F01Rik	1423	2149	2083	1079
1500015A07Rik	37	81	72	48
1500015O10Rik	0	1	0	1
1500017E21Rik	0	0	0	0
1500031L02Rik	559	1104	936	492
1500032L24Rik	888	1976	2132	1679
1520402A15Rik	1	11	13	7
1600002H07Rik	174	309	337	238
1600002K03Rik	101	152	130	141
1600012F09Rik	112	261	164	125
1600012H06Rik	392	710	815	630
1600014C10Rik	953	1409	1242	829
1600016N20Rik	81	106	132	83
1600021P15Rik	0	0	0	0
1600027N09Rik	224	452	345	301
1600029D21Rik	2	2	9	0
1600029O15Rik	3	3	5	7
1700001C19Rik	3	8	7	0
1700001G17Rik	3	5	3	3
1700001J03Rik	0	0	1	1
1700001J11Rik	1	4	0	0
1700001K19Rik	0	1	2	3
1700001K23Rik	0	2	1	3
1700001L05Rik	74	136	97	50
1700001L19Rik	0	0	0	0
1700001O22Rik	4	3	10	4
1700001P01Rik	0	2	0	1
1700003E16Rik	0	0	0	0
1700003F12Rik	0	0	0	0
1700007E06Rik	0	0	2	0
1700007I08Rik	0	3	1	0
1700007K09Rik	0	1	0	0
1700007K13Rik	0	0	0	2
1700008F21Rik	0	0	0	0
1700008I05Rik	0	0	0	0
1700008J07Rik	42	78	50	32
1700008O03Rik	0	2	1	0
1700008P20Rik	0	1	0	0
1700009P17Rik	2	5	6	7
1700010B08Rik	0	0	0	0
1700010I14Rik	132	172	133	131
1700011E24Rik	0	0	3	0
1700011L22Rik	2	0	0	0
1700012A16Rik	2	8	12	7
1700012B07Rik	2	9	75	94
1700012B09Rik	0	0	0	0
1700012B15Rik	105	180	195	95
1700012D14Rik	3	5	2	6
1700012L04Rik	0	1	6	0
1700013B16Rik	0	0	0	1
1700013F07Rik	0	0	0	0
1700013N18Rik	0	2	1	0
1700016C15Rik	0	0	0	0
1700016D06Rik	1	0	4	1
1700016K19Rik	1	5	1	0
1700017B05Rik	1189	2072	6664	3462
1700018A14Rik	0	0	1	0
1700018B08Rik	0	1	0	0
1700018C11Rik	0	0	0	3
1700018L02Rik	2	1	3	1
1700018L24Rik	0	0	0	0
1700019A02Rik	1	0	1	0
1700019B03Rik	0	0	0	0
1700019D03Rik	2	6	4	1
1700019E19Rik	8	9	19	20
1700019G17Rik	198	276	314	181
1700019L03Rik	43	71	20	11
1700019N12Rik	0	0	2	1
1700020A23Rik	0	0	2	0
1700020C07Rik	1	2	0	2
1700020D05Rik	4	12	17	11
1700020I14Rik	737	1312	1484	1090
1700020L24Rik	12	11	66	47
1700020N01Rik	0	1	2	1
1700020N18Rik	0	1	0	3
1700020O03Rik	1025	1610	1441	1085
1700021C14Rik	3	8	5	3
1700021F05Rik	163	277	239	241
1700021K19Rik	488	920	769	536
1700022I11Rik	1	3	2	0
1700022P22Rik	1	1	1	0
1700023E05Rik	0	0	0	1
1700024P04Rik	0	0	0	0
1700024P16Rik	0	0	0	0
1700025E21Rik	0	2	0	0
1700025G04Rik	455	803	673	513
1700025K23Rik	9	13	9	4
1700026D08Rik	0	0	1	0
1700026D11Rik	0	1	1	0
1700026J04Rik	1	0	1	4
1700026L06Rik	0	2	12	0
1700027A23Rik	0	6	1	1
1700027D21Rik	0	0	1	0
1700028B04Rik	0	1	1	2
1700028J19Rik	6	12	18	7
1700028K03Rik	6	17	21	17
1700029F09Rik	296	634	617	307
1700029F12Rik	0	1	1	0
1700029G01Rik	14	23	13	10
1700029H14Rik	2	0	5	0
1700029I01Rik	34	52	41	8
1700029I15Rik	1	1	2	2
1700029J07Rik	9	15	17	1
1700029J11Rik	5	4	3	3
1700029M20Rik	0	2	0	0
1700030C10Rik	20	24	38	35
1700030J22Rik	10	16	8	3
1700030K09Rik	104	190	165	118
1700034F02Rik	2	2	6	1
1700034H14Rik	292	478	518	369
1700034H15Rik	4	5	4	0
1700034I23Rik	0	1	1	2
1700037C18Rik	34	57	52	33
1700037H04Rik	260	361	386	299
1700039E15Rik	0	0	0	0
1700040I03Rik	171	298	279	160
1700040L02Rik	14	33	20	10
1700048O20Rik	37	43	84	71
1700049G17Rik	46	99	29	18
1700052K11Rik	77	144	91	24
1700052N19Rik	542	1030	974	621
1700054N08Rik	275	477	459	314
1700056E22Rik	10	8	25	11
1700057G04Rik	0	0	0	0
1700058G18Rik	0	0	0	0
1700060C20Rik	0	0	0	0
1700061G19Rik	2	1	7	1
1700061J05Rik	2	2	8	17
1700065D16Rik	3	2	14	47
1700065I17Rik	0	0	0	2
1700066B19Rik	58	95	104	64
1700066M21Rik	287	434	479	299
1700067K01Rik	7	16	6	4
1700071K01Rik	0	1	1	0
1700073E17Rik	2	4	13	14
1700081L11Rik	2764	4711	4336	2431
1700084E18Rik	6	6	19	8
1700084J12Rik	0	1	1	0
1700086O06Rik	11	29	19	16
1700088E04Rik	0	0	0	0
1700092M07Rik	7	9	7	8
1700093K21Rik	0	1	1	0
1700094D03Rik	157	218	196	125
1700096J18Rik	0	4	2	0
1700096K18Rik	33	53	51	14
1700101E01Rik	0	0	2	1
1700102P08Rik	20	23	24	19
1700106N22Rik	15	53	38	27
1700108M19Rik	0	0	0	0
1700109H08Rik	11	27	40	13
1700111N16Rik	0	0	0	0
1700112E06Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700113I22Rik	48	68	65	51
1700120K04Rik	5	8	4	7
1700123I01Rik	1	1	0	1
1700123O20Rik	397	693	686	340
1700125D06Rik	0	0	0	0
1700128F08Rik	2	2	5	5
1810006K21Rik	1531	2632	3405	855
1810008A18Rik	985	1735	1713	1165
1810009A15Rik	342	632	662	365
1810010D01Rik	1	0	1	0
1810010H24Rik	6	4	10	4
1810011H11Rik	0	3	11	0
1810012P15Rik	133	246	294	203
1810013D10Rik	526	765	657	422
1810013L24Rik	831	1274	1720	950
1810014B01Rik	53	105	65	31
1810014F10Rik	41	63	68	48
1810019J16Rik	4	8	4	0
1810020D17Rik	79	166	101	84
1810022C23Rik	0	0	0	0
1810022K09Rik	168	329	352	120
1810024B03Rik	0	3	0	0
1810026B05Rik	345	729	696	436
1810026J23Rik	712	1249	1317	768
1810027O10Rik	115	178	240	214
1810029B16Rik	146	180	145	83
1810030N24Rik	310	535	368	193
1810030O07Rik	1613	2725	2224	1518
1810031K17Rik	1812	2620	3144	2773
1810032O08Rik	184	249	312	134
1810033B17Rik	0	18	12	9
1810035L17Rik	174	292	417	164
1810037I17Rik	1214	2384	4327	1737
1810043G02Rik	53	87	65	39
1810043H04Rik	41	79	99	73
1810046J19Rik	788	1083	1904	947
1810046K07Rik	2	0	0	0
1810048J11Rik	117	197	170	109
1810049H13Rik	43	65	80	26
1810055G02Rik	73	170	162	108
1810058I24Rik	370	698	652	541
1810062O18Rik	10	11	8	1
1810063B05Rik	103	214	211	78
1810063B07Rik	211	474	347	175
1810064F22Rik	2	0	4	1
1810074P20Rik	1538	2106	2641	1047
2010000I03Rik	53	65	49	13
2010001E11Rik	0	3	2	0
2010001M06Rik	3	3	6	2
2010001M09Rik	0	1	5	5
2010002M12Rik	89	102	89	30
2010002N04Rik	152	237	354	135
2010003K11Rik	0	0	0	0
2010005H15Rik	0	1	0	1
2010007H12Rik	115	233	345	266
2010011I20Rik	134	220	149	82
2010012O05Rik	151	285	345	121
2010015L04Rik	48	62	76	44
2010016I18Rik	1304	1779	1286	357
2010106G01Rik	2511	3951	3647	2422
2010107E04Rik	2857	4754	3830	1483
2010107G12Rik	1	5	9	8
2010107G23Rik	6	6	1	0
2010107H07Rik	63	120	90	68
2010109I03Rik	52	109	35	8
2010109K11Rik	315	595	654	591
2010111I01Rik	293	519	1578	799
2010204K13Rik	5	11	11	8
2010300C02Rik	12	27	35	50
2010305A19Rik	184	340	343	268
2010317E24Rik	218	426	426	445
2010320M18Rik	15	36	31	36
2010321M09Rik	897	1569	1308	1081
2200001I15Rik	0	0	0	0
2200002D01Rik	2	8	10	5
2200002K05Rik	0	0	1	0
2210009G21Rik	312	431	367	191
2210010C04Rik	7	2	0	0
2210010C17Rik	149	283	327	288
2210012G02Rik	626	1040	857	512
2210013O21Rik	106	198	121	104
2210015D19Rik	118	241	126	65
2210016F16Rik	1002	1619	1086	1017
2210016L21Rik	404	731	615	419
2210018M11Rik	1120	1984	1821	858
2210020M01Rik	4	6	2	6
2210021J22Rik	198	386	304	167
2210403K04Rik	76	97	175	130
2210404J11Rik	138	243	259	154
2210404O07Rik	100	110	262	111
2210408I21Rik	24	55	41	11
2210411K11Rik	44	108	91	44
2210417A02Rik	19	26	25	14
2300002M23Rik	0	0	0	0
2300005B03Rik	0	0	0	0
2300009A05Rik	26	32	42	8
2310001A20Rik	590	980	1027	851
2310002J15Rik	0	0	1	0
2310003C23Rik	1173	2371	2243	970
2310003F16Rik	1024	1657	1596	1433
2310003H01Rik	196	418	636	569
2310003L22Rik	248	510	349	210
2310004I24Rik	1009	1579	1141	568
2310004N24Rik	122	313	507	157
2310005G13Rik	1	0	2	0
2310007A19Rik	1	0	3	0
2310007L24Rik	4	8	20	0
2310008H04Rik	521	785	677	480
2310008H09Rik	1313	2090	1749	764
2310009B15Rik	10	29	32	22
2310010M20Rik	7	9	13	8
2310011J03Rik	459	781	1159	679
2310014H01Rik	5023	8099	14133	8595
2310014L17Rik	24	30	34	30
2310015A10Rik	143	197	114	64
2310016C08Rik	228	368	562	360
2310016M24Rik	273	593	534	228
2310021P13Rik	2014	3090	2944	1752
2310022A10Rik	572	961	1012	577
2310022B05Rik	127	283	256	149
2310028H24Rik	139	212	293	109
2310028O11Rik	1235	2058	2001	1338
2310030G06Rik	0	0	0	3
2310030N02Rik	133	221	119	69
2310033E01Rik	0	0	0	0
2310033P09Rik	489	723	689	574
2310035C23Rik	948	1663	1252	689
2310035K24Rik	133	240	177	130
