"ID_REF"    "CD4T_Cxcr5+Bcl6+_1"	"CD4T_Cxcr5+Bcl6+_2"	"CD4T_Cxcr5-Bcl6-_1"	"CD4T_Cxcr5-Bcl6-_2"	"CD4T_Cxcr5+Bcl6-_1"	"CD4T_Cxcr5+Bcl6-_2"
10344614	8.682938	8.476599	8.128222	8.271668	7.99986	8.054096
10344616	4.081419	4.106388	4.139493	4.143508	4.171043	4.060843
10344618	4.525451	4.405046	4.318207	4.374267	4.352826	4.26042
10344620	5.772577	5.746397	5.792121	5.904733	5.815302	5.794765
10344622	8.990149	8.915923	9.270833	8.842235	9.124304	8.847527
10344624	11.57599	11.62392	11.6092	11.28868	11.65927	11.61656
10344633	11.24862	11.19674	11.34304	11.16944	11.229	11.1245
10344637	10.14472	10.03699	10.60331	10.28939	10.43763	10.33125
10344653	5.963144	5.801254	5.540865	5.617347	5.535617	5.700974
10344658	10.0608	10.23935	9.530541	9.386725	9.687237	9.756062
10344674	5.174973	5.343445	5.397355	5.353045	5.35183	5.100194
10344679	7.143793	7.187332	7.186556	7.069588	7.045628	7.122106
10344705	9.598193	9.411201	9.065376	9.195838	8.819898	8.887017
10344707	10.31843	10.29108	9.868174	9.647087	9.838628	9.773878
10344713	11.53888	11.54267	11.6806	11.74368	11.76736	11.73759
10344715	6.48982	6.329577	6.066939	6.115329	5.93932	6.184056
10344717	5.146829	5.408031	5.401905	5.170148	5.129331	5.622972
10344719	7.908453	7.78933	7.499833	7.596475	7.570356	7.722686
10344721	3.718493	3.690656	3.793075	3.817162	3.836625	3.841717
10344723	7.232587	7.740089	9.356236	9.13264	8.523595	8.73643
10344725	7.339237	7.233874	7.679899	7.486043	7.355781	7.216786
10344741	11.4738	11.67574	11.83533	11.74163	11.66715	11.71455
10344743	6.406994	6.319156	6.009852	6.304229	6.010184	5.923673
10344750	8.429681	8.468143	9.150066	8.818028	8.616368	8.360594
10344772	6.091072	6.002723	6.166535	6.204813	5.908806	6.014551
10344789	9.921523	10.09803	9.977288	9.811048	9.813169	9.757849
10344797	9.694975	9.353532	9.453319	9.680977	9.503286	9.50267
10344799	9.937285	10.00619	9.653634	9.711998	9.696375	9.744404
10344801	9.868804	10.12833	9.826268	9.453594	9.774142	9.522608
10344803	9.838638	9.389172	9.466725	9.070538	9.548199	9.44946
10344805	9.592982	9.637173	9.289639	8.899143	9.317771	9.274797
10344807	9.679201	9.720028	9.356705	9.261786	9.436813	9.346029
10344809	9.335125	9.614	9.342505	9.103508	9.185279	9.181322
10344811	10.16913	10.26965	10.14909	9.917698	9.978789	9.852768
10344813	9.438483	9.526147	9.410382	9.020669	9.287596	9.184796
10344815	9.396236	9.465598	9.317242	8.917911	9.406136	9.130547
10344817	9.614367	9.713141	9.45118	8.921511	9.340014	9.371551
10344819	8.74634	8.904228	8.853416	8.625521	8.745195	8.715735
10344821	9.111823	9.445675	8.957438	9.086024	9.076901	9.056423
10344835	10.5052	10.28606	10.25145	10.31386	10.09001	10.34034
10344837	6.104439	6.108035	5.915011	5.952812	5.868979	6.009833
10344879	6.162588	6.080703	5.942411	6.071816	5.838445	5.857496
10344895	8.519023	8.346765	8.698495	8.564494	8.685854	8.815531
10344897	6.471099	6.465756	6.312557	6.60778	6.485972	6.536806
10344922	5.882156	6.016805	6.070817	6.118618	5.864759	5.764886
10344924	5.661084	5.73761	5.613997	5.758431	5.478721	5.544799
10344929	6.536911	6.405787	6.259732	6.534232	6.204093	6.391062
10344931	13.09268	12.91538	13.06826	13.04402	12.9251	13.03527
10344933	10.10757	9.584551	9.921762	10.29631	9.853487	9.675912
10344935	6.398231	6.35033	6.099223	6.110878	6.152574	6.136158
10344939	9.833408	9.950012	9.692377	9.633465	9.798837	9.879196
10344950	8.620498	8.177396	7.98727	8.240819	8.098514	8.328875
10344952	8.825397	8.961884	9.148003	9.075428	8.961929	8.887171
10344960	9.320547	9.347377	9.978765	9.762898	9.862269	9.786334
10344966	11.06056	11.03933	8.883146	9.06234	10.24247	10.04768
10344973	6.019978	6.230247	5.969679	6.16693	5.961356	6.009385
10344981	5.559087	5.445198	5.308191	5.197988	5.17032	5.12249
10344990	7.503895	7.534805	7.330011	7.430269	7.431501	7.419851
10345007	6.155328	5.95233	5.967086	6.151184	6.04569	5.904184
10345016	6.797854	6.536201	6.548518	6.681533	6.490005	6.654727
10345025	11.02017	11.04342	11.93399	12.042	11.74392	11.76412
10345028	4.419574	4.274233	4.377647	4.275104	4.255293	4.132954
10345030	7.48553	7.241401	7.26498	7.410667	7.417548	7.416832
10345032	8.536478	8.594024	11.59478	11.79874	12.29413	12.43797
10345037	7.663252	7.963653	7.951757	7.975086	7.982126	7.916619
10345046	7.254824	7.236369	7.209318	7.228538	7.123291	7.083263
10345058	7.399832	7.485972	7.277697	7.281494	7.223735	7.288013
10345065	6.856427	6.611153	6.681938	6.929851	6.863076	6.593435
10345074	5.713248	5.636308	6.916489	6.571384	6.23873	6.227513
10345077	4.443614	4.623059	4.724816	4.545704	4.575169	4.650169
10345079	6.974959	7.100386	6.944734	6.883109	6.765446	6.604966
10345083	6.820356	6.651211	6.719679	6.72135	6.551335	6.538274
10345087	6.737988	6.463069	6.771314	6.77809	6.761591	6.605114
10345089	5.211609	5.080782	5.147409	5.145598	5.139995	5.251292
10345091	7.969882	7.946505	7.98536	7.911025	8.024469	7.851768
10345099	7.719527	7.547078	7.525449	7.719429	7.452291	7.642726
10345101	7.663771	7.421974	7.390973	7.569723	7.42201	7.458862
10345141	10.03356	10.11568	9.965012	9.817696	9.987238	9.892442
10345167	6.247409	6.263269	6.034517	6.170869	6.267639	6.51999
