TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0006955	immune response	3.29780291013029e-14	-31.0429348399863	618	23	0.221153846153846	104	20899	100702,16182,16184,20371,17127,12772,19219,50928,27007,12774,27061,22376,17101,16189,12769,19883,16963,22035,21938,229900,17999,19664,16452	Gbp6,Il18r1,Il2ra,Foxp3,Smad3,Ccr2,Ptger4,Klrg1,Klrk1,Ccr5,Bcap31,Was,Lyst,Il4,Ccr9,Rora,Xcl1,Tnfsf10,Tnfrsf1b,Gbp7,Nedd4,Rbpj,Jak2
GO:0002376	immune system process	8.46373292573549e-13	-27.7978158884473	1411	31	0.298076923076923	104	20899	17101,16189,12769,19883,18035,16963,22035,21938,229900,22780,17999,16414,12047,19664,16452,17059,16182,16184,100702,20371,17127,20715,19219,12772,50928,27007,12774,107568,27061,22376,15902	Lyst,Il4,Ccr9,Rora,Nfkbia,Xcl1,Tnfsf10,Tnfrsf1b,Gbp7,Ikzf3,Nedd4,Itgb2,Bcl2a1d,Rbpj,Jak2,Klrb1c,Il18r1,Il2ra,Gbp6,Foxp3,Smad3,Serpina3g,Ptger4,Ccr2,Klrg1,Klrk1,Ccr5,Wwp1,Bcap31,Was,Id2
GO:0046649	lymphocyte activation	7.86288025204371e-12	-25.5688681323314	330	16	0.153846153846154	104	20899	16189,19883,22780,17999,16414,12047,19664,17059,16182,20371,17127,19219,27007,107568,15902,22376	Il4,Rora,Ikzf3,Nedd4,Itgb2,Bcl2a1d,Rbpj,Klrb1c,Il18r1,Foxp3,Smad3,Ptger4,Klrk1,Wwp1,Id2,Was
GO:0001775	cell activation	1.57943930586803e-11	-24.8713661085806	467	18	0.173076923076923	104	20899	16189,19883,17999,22780,59048,12047,16414,19664,17059,20371,16182,17127,19219,27007,15902,22376,14062,107568	Il4,Rora,Nedd4,Ikzf3,C1galt1c1,Bcl2a1d,Itgb2,Rbpj,Klrb1c,Foxp3,Il18r1,Smad3,Ptger4,Klrk1,Id2,Was,F2r,Wwp1
GO:0045321	leukocyte activation	1.3264621870293e-10	-22.7433355415715	399	16	0.153846153846154	104	20899	107568,22376,15902,27007,19219,17127,16182,20371,17059,19664,16414,12047,22780,17999,19883,16189	Wwp1,Was,Id2,Klrk1,Ptger4,Smad3,Il18r1,Foxp3,Klrb1c,Rbpj,Itgb2,Bcl2a1d,Ikzf3,Nedd4,Rora,Il4
GO:0031347	regulation of defense response	2.18673802927023e-10	-22.2434399808481	351	15	0.144230769230769	104	20899	225825,12772,21938,19219,18035,19883,17127,16963,16184,16189,20371,17059,12774,16452,27007	Cd226,Ccr2,Tnfrsf1b,Ptger4,Nfkbia,Rora,Smad3,Xcl1,Il2ra,Il4,Foxp3,Klrb1c,Ccr5,Jak2,Klrk1
GO:0034097	response to cytokine	8.12165434181761e-10	-20.9313170598413	386	15	0.144230769230769	104	20899	12772,21938,16162,50905,229900,12769,16182,100702,16184,16963,20715,80901,12774,16452,14828	Ccr2,Tnfrsf1b,Il12rb2,Il17rb,Gbp7,Ccr9,Il18r1,Gbp6,Il2ra,Xcl1,Serpina3g,Cxcr6,Ccr5,Jak2,Hspa5
GO:0071345	cellular response to cytokine stimulus	3.93558036421871e-09	-19.353207478222	305	13	0.125	104	20899	12774,16452,14828,50905,12772,21938,229900,12769,16184,16182,100702,16963,80901	Ccr5,Jak2,Hspa5,Il17rb,Ccr2,Tnfrsf1b,Gbp7,Ccr9,Il2ra,Il18r1,Gbp6,Xcl1,Cxcr6
GO:0050727	regulation of inflammatory response	9.73078097605534e-09	-18.4479716792157	214	11	0.105769230769231	104	20899	16189,20371,16184,17127,16963,19883,12772,19219,21938,12774,16452	Il4,Foxp3,Il2ra,Smad3,Xcl1,Rora,Ccr2,Ptger4,Tnfrsf1b,Ccr5,Jak2
GO:0001819	positive regulation of cytokine production	1.23654557532895e-08	-18.2083590783191	219	11	0.105769230769231	104	20899	27007,16452,12774,16189,20371,16182,16963,17127,19883,12772,16162	Klrk1,Jak2,Ccr5,Il4,Foxp3,Il18r1,Xcl1,Smad3,Rora,Ccr2,Il12rb2
GO:0042110	T cell activation	1.3586177458165e-08	-18.1142129244221	221	11	0.105769230769231	104	20899	12047,16414,22376,107568,17127,19883,16189,20371,16182,17999,19219	Bcl2a1d,Itgb2,Was,Wwp1,Smad3,Rora,Il4,Foxp3,Il18r1,Nedd4,Ptger4
GO:0048583	regulation of response to stimulus	2.40622233299161e-08	-17.542622722942	2644	35	0.336538461538462	104	20899	12047,107321,19664,16189,14815,18035,26943,19883,21938,17999,27007,14828,12774,14062,20371,13663,269941,14827,16184,17127,12772,16452,17059,16963,22035,225825,72183,11804,70086,27061,16182,15257,50778,19219,14744	Bcl2a1d,Lpxn,Rbpj,Il4,Nr3c1,Nfkbia,Serinc3,Rora,Tnfrsf1b,Nedd4,Klrk1,Hspa5,Ccr5,F2r,Foxp3,Ei24,Chsy1,Pdia3,Il2ra,Smad3,Ccr2,Jak2,Klrb1c,Xcl1,Tnfsf10,Cd226,Snx6,Aplp2,Cysltr2,Bcap31,Il18r1,Hipk1,Rgs1,Ptger4,Gpr65
GO:0001817	regulation of cytokine production	2.66905985926334e-08	-17.4389544461819	427	14	0.134615384615385	104	20899	16452,12774,14062,27007,21942,16162,12772,19219,16189,20371,16182,16963,17127,19883	Jak2,Ccr5,F2r,Klrk1,Tnfrsf9,Il12rb2,Ccr2,Ptger4,Il4,Foxp3,Il18r1,Xcl1,Smad3,Rora
GO:0048518	positive regulation of biological process	3.51993187451943e-08	-17.1622391083594	3966	44	0.423076923076923	104	20899	12047,19664,16189,14815,17101,18035,63913,26943,19883,21938,50769,17999,27007,12444,14828,12774,72065,14062,20371,14827,13663,269941,16184,17127,12772,68652,16414,68501,16452,17059,16963,22035,225825,11843,70086,22376,15902,27061,22779,16182,15257,16162,19219,14744	Bcl2a1d,Rbpj,Il4,Nr3c1,Lyst,Nfkbia,Fam129a,Serinc3,Rora,Tnfrsf1b,Atp8a2,Nedd4,Klrk1,Ccnd2,Hspa5,Ccr5,Rap2c,F2r,Foxp3,Pdia3,Ei24,Chsy1,Il2ra,Smad3,Ccr2,Tab2,Itgb2,Nsmce2,Jak2,Klrb1c,Xcl1,Tnfsf10,Cd226,Arf4,Cysltr2,Was,Id2,Bcap31,Ikzf2,Il18r1,Hipk1,Il12rb2,Ptger4,Gpr65
GO:1903034	regulation of response to wounding	5.59158882774586e-08	-16.699417270382	315	12	0.115384615384615	104	20899	16184,20371,16189,19883,17127,16963,12772,21938,19219,12774,16452,14062	Il2ra,Foxp3,Il4,Rora,Smad3,Xcl1,Ccr2,Tnfrsf1b,Ptger4,Ccr5,Jak2,F2r
GO:0009987	cellular process	6.44474412989182e-08	-16.5574158089091	12869	89	0.855769230769231	104	20899	104725,19651,19664,67168,216344,50769,59048,21936,22780,17999,12444,27007,14828,18003,18813,12774,27357,72065,107568,269941,20527,17127,12772,16414,68501,231932,16963,229900,20623,11804,75423,74114,22779,15902,50527,20715,19219,14744,50928,12047,107321,107684,68523,17101,14815,16189,12769,18035,63913,19883,54613,21938,11872,14062,16184,14827,13663,100702,20371,67861,20452,68969,101861,16452,17059,22027,67895,22035,20467,50905,66070,20893,70086,11843,26905,19244,27061,22376,225845,16182,74007,19291,67838,226591,80901,15257,50778,16162,75292	Sptssa,Rbl2,Rbpj,Lpar6,Rab21,Atp8a2,C1galt1c1,Tnfrsf18,Ikzf3,Nedd4,Ccnd2,Klrk1,Hspa5,Nedd9,Pa2g4,Ccr5,Gyg,Rap2c,Wwp1,Chsy1,Slc2a3,Smad3,Ccr2,Itgb2,Nsmce2,Gimap7,Xcl1,Gbp7,Snrk,Aplp2,Arl5a,Crot,Ikzf2,Id2,Ero1l,Serpina3g,Ptger4,Gpr65,Klrg1,Bcl2a1d,Lpxn,Coro2a,Fam96b,Lyst,Nr3c1,Il4,Ccr9,Nfkbia,Fam129a,Rora,St3gal6,Tnfrsf1b,Art2b,F2r,Il2ra,Pdia3,Ei24,Gbp6,Foxp3,Akr1b10,St8sia4,Eif1b,Ints4,Jak2,Klrb1c,Hsp90b1,Ppa1,Tnfsf10,Sin3b,Il17rb,Cwc15,Bhlhe40,Cysltr2,Arf4,Eif2s3x,Ptp4a2,Bcap31,Was,Pla2g16,Il18r1,Btbd11,Purb,Dnajb11,Tiprl,Cxcr6,Hipk1,Rgs1,Il12rb2,Prkd3
GO:0048584	positive regulation of response to stimulus	6.85603508112414e-08	-16.4955514458199	1290	23	0.221153846153846	104	20899	225825,22035,18035,26943,16963,16189,14815,17059,16452,19664,12047,12772,19219,17127,13663,269941,14827,20371,27061,14062,12774,70086,27007	Cd226,Tnfsf10,Nfkbia,Serinc3,Xcl1,Il4,Nr3c1,Klrb1c,Jak2,Rbpj,Bcl2a1d,Ccr2,Ptger4,Smad3,Ei24,Chsy1,Pdia3,Foxp3,Bcap31,F2r,Ccr5,Cysltr2,Klrk1
GO:0009605	response to external stimulus	7.66948342574321e-08	-16.3834314808096	1298	23	0.221153846153846	104	20899	19219,12772,16162,80901,17127,100702,14062,15902,12774,14828,20893,27007,229900,21938,50769,18035,16963,17101,12769,16189,16452,19664,16414	Ptger4,Ccr2,Il12rb2,Cxcr6,Smad3,Gbp6,F2r,Id2,Ccr5,Hspa5,Bhlhe40,Klrk1,Gbp7,Tnfrsf1b,Atp8a2,Nfkbia,Xcl1,Lyst,Ccr9,Il4,Jak2,Rbpj,Itgb2
GO:0031349	positive regulation of defense response	1.00881986173881e-07	-16.1093144570034	159	9	0.0865384615384615	104	20899	16452,12774,17059,27007,12772,19219,225825,18035,16963	Jak2,Ccr5,Klrb1c,Klrk1,Ccr2,Ptger4,Cd226,Nfkbia,Xcl1
GO:0051240	positive regulation of multicellular organismal process	1.56048499767929e-07	-15.6730989820667	573	15	0.144230769230769	104	20899	19883,16963,17127,16182,16189,14815,20371,50769,12772,16162,19664,27007,14062,16452,12774	Rora,Xcl1,Smad3,Il18r1,Il4,Nr3c1,Foxp3,Atp8a2,Ccr2,Il12rb2,Rbpj,Klrk1,F2r,Jak2,Ccr5
GO:0043367	CD4-positive, alpha-beta T cell differentiation	2.04944295435992e-07	-15.4005276243137	27	5	0.0480769230769231	104	20899	20371,16189,16182,19883,19219	Foxp3,Il4,Il18r1,Rora,Ptger4
GO:0080134	regulation of response to stress	2.18264892163736e-07	-15.3375564101274	764	17	0.163461538461538	104	20899	21938,225825,16189,18035,26943,19883,16963,16452,17059,19219,12772,16184,20371,17127,12774,14062,27007	Tnfrsf1b,Cd226,Il4,Nfkbia,Serinc3,Rora,Xcl1,Jak2,Klrb1c,Ptger4,Ccr2,Il2ra,Foxp3,Smad3,Ccr5,F2r,Klrk1
GO:0002682	regulation of immune system process	2.31118256999701e-07	-15.280336322355	861	18	0.173076923076923	104	20899	17101,16189,18035,19883,16963,225825,22780,107321,12047,17059,16184,20371,17127,19219,12772,27007,75345,15902	Lyst,Il4,Nfkbia,Rora,Xcl1,Cd226,Ikzf3,Lpxn,Bcl2a1d,Klrb1c,Il2ra,Foxp3,Smad3,Ptger4,Ccr2,Klrk1,Slamf7,Id2
GO:0006950	response to stress	2.35608621411663e-07	-15.2610937924104	2225	30	0.288461538461538	104	20899	16452,19664,68501,16414,12047,229900,59048,21938,19883,63913,22027,17101,16189,14062,15902,12774,14828,27007,50928,12772,19219,80901,15257,17127,50527,13663,14827,100702,16184,226591	Jak2,Rbpj,Nsmce2,Itgb2,Bcl2a1d,Gbp7,C1galt1c1,Tnfrsf1b,Rora,Fam129a,Hsp90b1,Lyst,Il4,F2r,Id2,Ccr5,Hspa5,Klrk1,Klrg1,Ccr2,Ptger4,Cxcr6,Hipk1,Smad3,Ero1l,Ei24,Pdia3,Gbp6,Il2ra,Tiprl
GO:0050728	negative regulation of inflammatory response	2.59759318322706e-07	-15.1635103334134	87	7	0.0673076923076923	104	20899	19219,21938,19883,17127,16184,16189,20371	Ptger4,Tnfrsf1b,Rora,Smad3,Il2ra,Il4,Foxp3
GO:0035710	CD4-positive, alpha-beta T cell activation	2.99103891500188e-07	-15.0224748606958	29	5	0.0480769230769231	104	20899	19219,16182,16189,20371,19883	Ptger4,Il18r1,Il4,Foxp3,Rora
GO:0065009	regulation of molecular function	3.35118221132421e-07	-14.9087824684728	2006	28	0.269230769230769	104	20899	59048,22035,18035,16963,22027,16189,16452,68652,16414,12047,19651,50778,14744,15257,20715,17127,20371,226591,72065,27061,14062,15902,11804,20708,11843,14828,20893,12444	C1galt1c1,Tnfsf10,Nfkbia,Xcl1,Hsp90b1,Il4,Jak2,Tab2,Itgb2,Bcl2a1d,Rbl2,Rgs1,Gpr65,Hipk1,Serpina3g,Smad3,Foxp3,Tiprl,Rap2c,Bcap31,F2r,Id2,Aplp2,Serpinb6b,Arf4,Hspa5,Bhlhe40,Ccnd2
GO:0050865	regulation of cell activation	3.77226668692609e-07	-14.7904195869562	376	12	0.115384615384615	104	20899	75345,16452,15902,20371,16189,16184,17101,16963,19883,12772,22780,225825	Slamf7,Jak2,Id2,Foxp3,Il4,Il2ra,Lyst,Xcl1,Rora,Ccr2,Ikzf3,Cd226
GO:0009607	response to biotic stimulus	3.92977454049571e-07	-14.7495135955534	616	15	0.144230769230769	104	20899	27007,14828,19664,16452,14062,16189,100702,17101,16963,17127,18035,16162,19219,21938,229900	Klrk1,Hspa5,Rbpj,Jak2,F2r,Il4,Gbp6,Lyst,Xcl1,Smad3,Nfkbia,Il12rb2,Ptger4,Tnfrsf1b,Gbp7
GO:0048522	positive regulation of cellular process	4.1196416663422e-07	-14.7023294655681	3541	39	0.375	104	20899	16963,22035,225825,68652,16414,68501,16452,15257,19219,14744,11843,70086,22779,27061,22376,15902,17101,16189,14815,26943,19883,18035,63913,50769,21938,19664,16184,14827,13663,269941,20371,17127,12772,12444,27007,14828,12774,14062,72065	Xcl1,Tnfsf10,Cd226,Tab2,Itgb2,Nsmce2,Jak2,Hipk1,Ptger4,Gpr65,Arf4,Cysltr2,Ikzf2,Bcap31,Was,Id2,Lyst,Il4,Nr3c1,Serinc3,Rora,Nfkbia,Fam129a,Atp8a2,Tnfrsf1b,Rbpj,Il2ra,Pdia3,Ei24,Chsy1,Foxp3,Smad3,Ccr2,Ccnd2,Klrk1,Hspa5,Ccr5,F2r,Rap2c
GO:0019221	cytokine-mediated signaling pathway	4.19468007832068e-07	-14.6842785765645	188	9	0.0865384615384615	104	20899	16452,12774,80901,16184,16182,12769,12772,21938,50905	Jak2,Ccr5,Cxcr6,Il2ra,Il18r1,Ccr9,Ccr2,Tnfrsf1b,Il17rb
GO:1903035	negative regulation of response to wounding	5.8811606149625e-07	-14.3463415250283	98	7	0.0673076923076923	104	20899	19883,17127,16184,16189,20371,19219,21938	Rora,Smad3,Il2ra,Il4,Foxp3,Ptger4,Tnfrsf1b
