TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0009897	external side of plasma membrane	1.49740254175249e-10	-22.6221189616836	269	14	0.127272727272727	110	20893	12772,21936,75345,110454,21942,17059,27007,16189,16184,11872,225825,16643,12774,16162	Ccr2,Tnfrsf18,Slamf7,Ly6a,Tnfrsf9,Klrb1c,Klrk1,Il4,Il2ra,Art2b,Cd226,Klrd1,Ccr5,Il12rb2
GO:0098552	side of membrane	2.06230251187521e-09	-19.9994427541223	329	14	0.127272727272727	110	20893	21942,110454,12772,21936,75345,16189,16184,17059,27007,16643,225825,11872,16162,12774	Tnfrsf9,Ly6a,Ccr2,Tnfrsf18,Slamf7,Il4,Il2ra,Klrb1c,Klrk1,Klrd1,Cd226,Art2b,Il12rb2,Ccr5
GO:0009986	cell surface	8.76603301043515e-09	-18.5523814692216	653	18	0.163636363636364	110	20893	16162,14828,225825,11872,16643,17059,16184,12772,21942,110454,12774,50905,14827,16414,27007,16189,75345,21936	Il12rb2,Hspa5,Cd226,Art2b,Klrd1,Klrb1c,Il2ra,Ccr2,Tnfrsf9,Ly6a,Ccr5,Il17rb,Pdia3,Itgb2,Klrk1,Il4,Slamf7,Tnfrsf18
GO:0044464	cell part	4.5169897396775e-06	-12.3076647727849	14839	98	0.890909090909091	110	20893	17059,18003,11843,14062,21942,16162,22780,75423,16414,72183,269941,20371,50527,72065,50928,101861,17101,16452,226591,67895,110454,11804,229900,20715,50778,68652,16643,75292,14815,22027,21936,15257,20708,107321,70086,276950,20467,15902,19883,67838,20452,100702,54613,12047,16184,18813,12772,225845,27061,216344,107684,67861,26943,20527,80901,68501,16963,104725,12444,20623,20491,22779,72265,326618,66070,17127,107526,107568,12769,21938,14744,18035,20893,67168,100041546,225825,14828,11872,27007,14827,16189,19244,17999,50769,19219,75345,19291,13663,74114,12757,12774,22376,19664,50905,19651,68523,231932,63913	Klrb1c,Nedd9,Arf4,F2r,Tnfrsf9,Il12rb2,Ikzf3,Arl5a,Itgb2,Snx6,Chsy1,Foxp3,Ero1l,Rap2c,Klrg1,Ints4,Lyst,Jak2,Tiprl,Ppa1,Ly6a,Aplp2,Gbp7,Serpina3g,Rgs1,Tab2,Klrd1,Prkd3,Nr3c1,Hsp90b1,Tnfrsf18,Hipk1,Serpinb6b,Lpxn,Cysltr2,Slfn8,Sin3b,Id2,Rora,Dnajb11,St8sia4,Gbp6,St3gal6,Bcl2a1d,Il2ra,Pa2g4,Ccr2,Pla2g16,Bcap31,Rab21,Coro2a,Akr1b10,Serinc3,Slc2a3,Cxcr6,Nsmce2,Xcl1,Sptssa,Ccnd2,Snrk,Sla,Ikzf2,Tram1,Tpm4,Cwc15,Smad3,Gimap4,Wwp1,Ccr9,Tnfrsf1b,Gpr65,Nfkbia,Bhlhe40,Lpar6,Ly6c2,Cd226,Hspa5,Art2b,Klrk1,Pdia3,Il4,Ptp4a2,Nedd4,Atp8a2,Ptger4,Slamf7,Purb,Ei24,Crot,Clta,Ccr5,Was,Rbpj,Il17rb,Rbl2,Fam96b,Gimap7,Fam129a
GO:0016020	membrane	4.52194844859795e-06	-12.3065675843066	9004	71	0.645454545454546	110	20893	14815,16643,75292,11804,50778,22035,110454,16452,16182,70086,107321,21936,22027,16162,22780,72310,14062,21763,21942,17059,11843,50928,72065,50527,16414,269941,72183,225825,14828,11872,74007,100041546,67168,21938,12769,107568,17127,14744,18035,27357,22376,50905,63913,12774,12757,75345,19219,13663,13041,27007,17999,50769,16189,19244,26943,225845,12772,216344,27061,54613,20452,67838,18813,12047,16184,72265,59048,104725,12444,20527,80901	Nr3c1,Klrd1,Prkd3,Aplp2,Rgs1,Tnfsf10,Ly6a,Jak2,Il18r1,Cysltr2,Lpxn,Tnfrsf18,Hsp90b1,Il12rb2,Ikzf3,Nkg7,F2r,Tex2,Tnfrsf9,Klrb1c,Arf4,Klrg1,Rap2c,Ero1l,Itgb2,Chsy1,Snx6,Cd226,Hspa5,Art2b,Btbd11,Ly6c2,Lpar6,Tnfrsf1b,Ccr9,Wwp1,Smad3,Gpr65,Nfkbia,Gyg,Was,Il17rb,Fam129a,Ccr5,Clta,Slamf7,Ptger4,Ei24,Ctsw,Klrk1,Nedd4,Atp8a2,Il4,Ptp4a2,Serinc3,Pla2g16,Ccr2,Rab21,Bcap31,St3gal6,St8sia4,Dnajb11,Pa2g4,Bcl2a1d,Il2ra,Tram1,C1galt1c1,Sptssa,Ccnd2,Slc2a3,Cxcr6
GO:0005623	cell	5.37833350427705e-06	-12.1331319893447	14876	98	0.890909090909091	110	20893	11843,18003,17059,21942,14062,22780,16162,75423,72183,269941,16414,50527,20371,72065,50928,17101,101861,16452,226591,110454,67895,20715,229900,50778,68652,11804,75292,16643,14815,22027,20708,15257,21936,107321,70086,19883,276950,15902,20467,16184,12047,18813,67838,100702,20452,54613,216344,27061,12772,225845,67861,107684,26943,68501,80901,20527,12444,16963,104725,20491,20623,22779,72265,326618,66070,18035,14744,17127,107568,12769,21938,107526,67168,100041546,20893,225825,14828,11872,16189,19244,50769,17999,14827,27007,13663,19291,75345,19219,74114,12774,12757,231932,68523,63913,19664,50905,19651,22376	Arf4,Nedd9,Klrb1c,Tnfrsf9,F2r,Ikzf3,Il12rb2,Arl5a,Snx6,Chsy1,Itgb2,Ero1l,Foxp3,Rap2c,Klrg1,Lyst,Ints4,Jak2,Tiprl,Ly6a,Ppa1,Serpina3g,Gbp7,Rgs1,Tab2,Aplp2,Prkd3,Klrd1,Nr3c1,Hsp90b1,Serpinb6b,Hipk1,Tnfrsf18,Lpxn,Cysltr2,Rora,Slfn8,Id2,Sin3b,Il2ra,Bcl2a1d,Pa2g4,Dnajb11,Gbp6,St8sia4,St3gal6,Rab21,Bcap31,Ccr2,Pla2g16,Akr1b10,Coro2a,Serinc3,Nsmce2,Cxcr6,Slc2a3,Ccnd2,Xcl1,Sptssa,Sla,Snrk,Ikzf2,Tram1,Tpm4,Cwc15,Nfkbia,Gpr65,Smad3,Wwp1,Ccr9,Tnfrsf1b,Gimap4,Lpar6,Ly6c2,Bhlhe40,Cd226,Hspa5,Art2b,Il4,Ptp4a2,Atp8a2,Nedd4,Pdia3,Klrk1,Ei24,Purb,Slamf7,Ptger4,Crot,Ccr5,Clta,Gimap7,Fam96b,Fam129a,Rbpj,Il17rb,Rbl2,Was
GO:0071944	cell periphery	3.19132513338657e-05	-10.3524892321136	5045	46	0.418181818181818	110	20893	100041546,67168,50778,11804,16643,225825,11872,14828,326618,110454,16452,14744,18035,12769,107568,17127,70086,107321,12774,12757,63913,50905,22027,17999,50769,16189,19244,27007,75345,19219,21936,22780,16162,26943,11843,16184,17059,27061,21942,14062,12772,72065,50928,80901,20527,16414	Ly6c2,Lpar6,Rgs1,Aplp2,Klrd1,Cd226,Art2b,Hspa5,Tpm4,Ly6a,Jak2,Gpr65,Nfkbia,Ccr9,Wwp1,Smad3,Cysltr2,Lpxn,Ccr5,Clta,Fam129a,Il17rb,Hsp90b1,Nedd4,Atp8a2,Il4,Ptp4a2,Klrk1,Slamf7,Ptger4,Tnfrsf18,Ikzf3,Il12rb2,Serinc3,Arf4,Il2ra,Klrb1c,Bcap31,Tnfrsf9,F2r,Ccr2,Rap2c,Klrg1,Cxcr6,Slc2a3,Itgb2
GO:0005886	plasma membrane	4.35462210259321e-05	-10.0416876316585	4944	45	0.409090909090909	110	20893	16184,11843,17059,27061,21942,12772,14062,22780,16162,26943,20527,80901,16414,72065,50928,18035,16452,14744,110454,17127,107568,12769,50778,67168,100041546,11804,16643,225825,11872,14828,16189,19244,17999,50769,22027,27007,21936,19219,75345,107321,70086,12774,12757,63913,50905	Il2ra,Arf4,Klrb1c,Bcap31,Tnfrsf9,Ccr2,F2r,Ikzf3,Il12rb2,Serinc3,Slc2a3,Cxcr6,Itgb2,Rap2c,Klrg1,Nfkbia,Jak2,Gpr65,Ly6a,Smad3,Wwp1,Ccr9,Rgs1,Lpar6,Ly6c2,Aplp2,Klrd1,Cd226,Art2b,Hspa5,Il4,Ptp4a2,Nedd4,Atp8a2,Hsp90b1,Klrk1,Tnfrsf18,Ptger4,Slamf7,Lpxn,Cysltr2,Ccr5,Clta,Fam129a,Il17rb
GO:0044459	plasma membrane part	0.000146228546961535	-8.83033977005446	1795	22	0.2	110	20893	12772,14062,16452,110454,21942,27061,17059,16184,11843,225825,11872,16643,16162,75345,21936,16414,27007,16189,20527,50905,12757,12774	Ccr2,F2r,Jak2,Ly6a,Tnfrsf9,Bcap31,Klrb1c,Il2ra,Arf4,Cd226,Art2b,Klrd1,Il12rb2,Slamf7,Tnfrsf18,Itgb2,Klrk1,Il4,Slc2a3,Il17rb,Clta,Ccr5
GO:0005829	cytosol	0.000187297536340017	-8.5828121021511	1326	18	0.163636363636364	110	20893	12774,72065,68523,15902,17999,22027,50527,12444,16963,67861,14815,11843,17101,27061,16452,18035,14062,107526	Ccr5,Rap2c,Fam96b,Id2,Nedd4,Hsp90b1,Ero1l,Ccnd2,Xcl1,Akr1b10,Nr3c1,Arf4,Lyst,Bcap31,Jak2,Nfkbia,F2r,Gimap4
