TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko04060	Cytokine-cytokine receptor interaction	2.25725260717958e-08	-17.6065323307228	260	14	0.222222222222222	63	7453	50905,16182,16189,12769,21938,21942,16184,12772,22035,80901,16162,21936,16963,12774	Il17rb,Il18r1,Il4,Ccr9,Tnfrsf1b,Tnfrsf9,Il2ra,Ccr2,Tnfsf10,Cxcr6,Il12rb2,Tnfrsf18,Xcl1,Ccr5
mmu04060	Cytokine-cytokine receptor interaction	2.25725260717958e-08	-17.6065323307228	260	14	0.222222222222222	63	7453	12774,16963,21936,22035,16162,80901,12772,16184,21942,21938,12769,16189,16182,50905	Ccr5,Xcl1,Tnfrsf18,Tnfsf10,Il12rb2,Cxcr6,Ccr2,Il2ra,Tnfrsf9,Tnfrsf1b,Ccr9,Il4,Il18r1,Il17rb
mmu05321	Inflammatory bowel disease (IBD)	9.09358637268841e-06	-11.6079411871357	59	6	0.0952380952380952	63	7453	17127,16162,16189,19883,20371,16182	Smad3,Il12rb2,Il4,Rora,Foxp3,Il18r1
ko05321	Inflammatory bowel disease (IBD)	9.09358637268841e-06	-11.6079411871357	59	6	0.0952380952380952	63	7453	16182,20371,16162,17127,16189,19883	Il18r1,Foxp3,Il12rb2,Smad3,Il4,Rora
mmu05162	Measles	0.00014266190738078	-8.85503301108754	137	7	0.111111111111111	63	7453	68652,16452,16184,18035,12444,22035,16189	Tab2,Jak2,Il2ra,Nfkbia,Ccnd2,Tnfsf10,Il4
ko05162	Measles	0.00014266190738078	-8.85503301108754	137	7	0.111111111111111	63	7453	18035,12444,16452,16184,68652,22035,16189	Nfkbia,Ccnd2,Jak2,Il2ra,Tab2,Tnfsf10,Il4
mmu04062	Chemokine signaling pathway	0.000186074290582966	-8.58936455225833	191	8	0.126984126984127	63	7453	18035,12769,16452,12772,80901,22376,16963,12774	Nfkbia,Ccr9,Jak2,Ccr2,Cxcr6,Was,Xcl1,Ccr5
ko04062	Chemokine signaling pathway	0.000186074290582966	-8.58936455225833	191	8	0.126984126984127	63	7453	12772,16452,22376,12774,16963,80901,18035,12769	Ccr2,Jak2,Was,Ccr5,Xcl1,Cxcr6,Nfkbia,Ccr9
mmu05140	Leishmaniasis	0.000205451214119171	-8.49030195309198	65	5	0.0793650793650794	63	7453	18035,16452,68652,16189,16414	Nfkbia,Jak2,Tab2,Il4,Itgb2
ko05140	Leishmaniasis	0.000205451214119171	-8.49030195309198	65	5	0.0793650793650794	63	7453	18035,16452,68652,16189,16414	Nfkbia,Jak2,Tab2,Il4,Itgb2
mmu04141	Protein processing in endoplasmic reticulum	0.000447692333113828	-7.71140431791686	165	7	0.111111111111111	63	7453	14827,22027,27061,50527,67838,14828,72265	Pdia3,Hsp90b1,Bcap31,Ero1l,Dnajb11,Hspa5,Tram1
ko04141	Protein processing in endoplasmic reticulum	0.000447692333113828	-7.71140431791686	165	7	0.111111111111111	63	7453	72265,14828,67838,14827,50527,27061,22027	Tram1,Hspa5,Dnajb11,Pdia3,Ero1l,Bcap31,Hsp90b1
mmu04144	Endocytosis	0.00241024375702729	-6.02802739259955	220	7	0.111111111111111	63	7453	16184,17999,17127,12774,107568,14062,12757	Il2ra,Nedd4,Smad3,Ccr5,Wwp1,F2r,Clta
ko04144	Endocytosis	0.00241024375702729	-6.02802739259955	220	7	0.111111111111111	63	7453	12774,107568,14062,12757,17127,17999,16184	Ccr5,Wwp1,F2r,Clta,Smad3,Nedd4,Il2ra
ko04650	Natural killer cell mediated cytotoxicity	0.00308992101245303	-5.77960975071214	118	5	0.0793650793650794	63	7453	27007,22035,16414,16643,17059	Klrk1,Tnfsf10,Itgb2,Klrd1,Klrb1c
mmu04650	Natural killer cell mediated cytotoxicity	0.00308992101245303	-5.77960975071214	118	5	0.0793650793650794	63	7453	17059,16643,27007,22035,16414	Klrb1c,Klrd1,Klrk1,Tnfsf10,Itgb2
mmu04151	PI3K-Akt signaling pathway	0.00826654310490463	-4.79553886157836	346	8	0.126984126984127	63	7453	16189,67168,12444,22027,14062,19651,16452,16184	Il4,Lpar6,Ccnd2,Hsp90b1,F2r,Rbl2,Jak2,Il2ra
ko04151	PI3K-Akt signaling pathway	0.00826654310490463	-4.79553886157836	346	8	0.126984126984127	63	7453	16189,67168,12444,22027,14062,19651,16184,16452	Il4,Lpar6,Ccnd2,Hsp90b1,F2r,Rbl2,Il2ra,Jak2
mmu04630	Jak-STAT signaling pathway	0.00947144326573488	-4.65947397941178	154	5	0.0793650793650794	63	7453	12444,16452,16184,16189,16162	Ccnd2,Jak2,Il2ra,Il4,Il12rb2
ko04630	Jak-STAT signaling pathway	0.00947144326573488	-4.65947397941178	154	5	0.0793650793650794	63	7453	12444,16184,16452,16162,16189	Ccnd2,Il2ra,Jak2,Il12rb2,Il4
ko04621	NOD-like receptor signaling pathway	0.012766917732645	-4.36089800591459	58	3	0.0476190476190476	63	7453	22027,18035,68652	Hsp90b1,Nfkbia,Tab2
mmu04621	NOD-like receptor signaling pathway	0.012766917732645	-4.36089800591459	58	3	0.0476190476190476	63	7453	22027,68652,18035	Hsp90b1,Tab2,Nfkbia
mmu04668	TNF signaling pathway	0.013313540699321	-4.31897366397109	109	4	0.0634920634920635	63	7453	21938,18035,68652,16182	Tnfrsf1b,Nfkbia,Tab2,Il18r1
ko04668	TNF signaling pathway	0.013313540699321	-4.31897366397109	109	4	0.0634920634920635	63	7453	21938,18035,16182,68652	Tnfrsf1b,Nfkbia,Il18r1,Tab2
mmu05145	Toxoplasmosis	0.0150292395169009	-4.19775767417528	113	4	0.0634920634920635	63	7453	12774,16452,18035,68652	Ccr5,Jak2,Nfkbia,Tab2
ko05145	Toxoplasmosis	0.0150292395169009	-4.19775767417528	113	4	0.0634920634920635	63	7453	68652,16452,18035,12774	Tab2,Jak2,Nfkbia,Ccr5
mmu04920	Adipocytokine signaling pathway	0.021891010382	-3.82167921127183	71	3	0.0476190476190476	63	7453	18035,16452,21938	Nfkbia,Jak2,Tnfrsf1b
ko04920	Adipocytokine signaling pathway	0.021891010382	-3.82167921127183	71	3	0.0476190476190476	63	7453	21938,16452,18035	Tnfrsf1b,Jak2,Nfkbia
mmu04710	Circadian rhythm	0.0262786066486667	-3.63900010622844	30	2	0.0317460317460317	63	7453	20893,19883	Bhlhe40,Rora
