TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
5893631	Chemokine receptors bind chemokines	3.70364031927379e-05	-10.203609258929	51	5	0.0961538461538462	52	6863	12769,12774,16963,80901,12772	Ccr9,Ccr5,Xcl1,Cxcr6,Ccr2
5893633	Class A/1 (Rhodopsin-like receptors)	5.2258295941947e-05	-9.85931190571406	291	10	0.192307692307692	52	6863	12774,16963,70086,12772,80901,67168,12769,14062,14744,19219	Ccr5,Xcl1,Cysltr2,Ccr2,Cxcr6,Lpar6,Ccr9,F2r,Gpr65,Ptger4
5893970	Beta defensins	0.000554966374432059	-7.49660303266218	5	2	0.0384615384615385	52	6863	12772,12774	Ccr2,Ccr5
5893268	GPCR ligand binding	0.000759760974558282	-7.1825066813118	404	10	0.192307692307692	52	6863	67168,12769,14062,19219,14744,16963,70086,80901,12772,12774	Lpar6,Ccr9,F2r,Ptger4,Gpr65,Xcl1,Cysltr2,Cxcr6,Ccr2,Ccr5
5892920	Immune System	0.00112293157447991	-6.79181253608852	1036	17	0.326923076923077	52	6863	12772,16414,27007,16184,50928,107568,16643,14827,16452,225825,17999,12774,22027,68652,22376,18035,12757	Ccr2,Itgb2,Klrk1,Il2ra,Klrg1,Wwp1,Klrd1,Pdia3,Jak2,Cd226,Nedd4,Ccr5,Hsp90b1,Tab2,Was,Nfkbia,Clta
5893520	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.00149355579660698	-6.50659556137625	66	4	0.0769230769230769	52	6863	16414,50928,27007,225825	Itgb2,Klrg1,Klrk1,Cd226
5892925	Adaptive Immune System	0.00188335941333766	-6.27469817479787	536	11	0.211538461538462	52	6863	12757,14827,107568,18035,68652,50928,22376,17999,16414,225825,27007	Clta,Pdia3,Wwp1,Nfkbia,Tab2,Klrg1,Was,Nedd4,Itgb2,Cd226,Klrk1
5893940	Downregulation of ERBB4 signaling	0.00195942175913277	-6.23510587011755	9	2	0.0384615384615385	52	6863	17999,107568	Nedd4,Wwp1
508751	Circadian Clock	0.00208034593497324	-6.17522108420672	34	3	0.0576923076923077	52	6863	19883,14815,20893	Rora,Nr3c1,Bhlhe40
5894016	ATF6-alpha activates chaperone genes	0.00243741965357712	-6.01681531827058	10	2	0.0384615384615385	52	6863	14828,22027	Hspa5,Hsp90b1
5893842	BMAL1:CLOCK,NPAS2 activates circadian gene expression	0.00245591686260691	-6.00925512000027	36	3	0.0576923076923077	52	6863	19883,20893,14815	Rora,Bhlhe40,Nr3c1
