TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0002376	immune system process	1.54435732022255e-10	-22.5912430800979	1411	28	0.269230769230769	104	20899	16401,18718,18803,94176,12487,18018,12145,240354,69202,13653,60505,21949,208154,93679,21973,227525,18750,321019,12053,20737,12504,66629,16410,16468,14225,19247,16797,14360	Itga4,Pip4k2a,Plcg1,Dock2,Cd28,Nfatc1,Cxcr5,Malt1,Ptms,Egr1,Il21,Tnfsf8,Btla,Trim8,Top2a,Dclre1c,Prkca,Gpr183,Bcl6,Spn,Cd4,Golph3,Itgav,Jarid2,Fkbp1a,Ptpn11,Lat,Fyn
GO:0046649	lymphocyte activation	1.00695625273527e-09	-20.7163336673163	330	14	0.134615384615385	104	20899	94176,12487,321019,20737,12053,12145,240354,227525,16410,14225,21949,13653,12504,14360	Dock2,Cd28,Gpr183,Spn,Bcl6,Cxcr5,Malt1,Dclre1c,Itgav,Fkbp1a,Tnfsf8,Egr1,Cd4,Fyn
GO:0045321	leukocyte activation	1.27801136159938e-09	-20.4779605908902	399	15	0.144230769230769	104	20899	16410,21949,14225,12504,13653,14360,16797,94176,12487,321019,20737,12053,12145,240354,227525	Itgav,Tnfsf8,Fkbp1a,Cd4,Egr1,Fyn,Lat,Dock2,Cd28,Gpr183,Spn,Bcl6,Cxcr5,Malt1,Dclre1c
GO:0001775	cell activation	1.30872777464947e-09	-20.4542103360087	467	16	0.153846153846154	104	20899	94176,12487,12145,240354,13653,21949,227525,321019,20737,12053,12504,16410,14225,27027,16797,14360	Dock2,Cd28,Cxcr5,Malt1,Egr1,Tnfsf8,Dclre1c,Gpr183,Spn,Bcl6,Cd4,Itgav,Fkbp1a,Tspan32,Lat,Fyn
GO:0048856	anatomical structure development	7.38741855570977e-09	-18.7234874788828	3920	45	0.432692307692308	104	20899	13653,11677,223989,16401,18803,240354,12006,17904,12145,226090,12504,17158,13135,19247,14360,16764,53625,13196,101314,227525,20737,12053,18750,26921,21949,60505,224705,21844,18718,70430,12531,18018,12487,94176,12363,110157,16468,14225,16410,12334,17132,108058,21973,22352,321019	Egr1,Akr1b3,Marf1,Itga4,Plcg1,Malt1,Axin2,Myl6,Cxcr5,Ermp1,Cd4,Man2a1,Dad1,Ptpn11,Fyn,Aff3,B3gnt2,Asap1,Brk1,Dclre1c,Spn,Bcl6,Prkca,Map4k4,Tnfsf8,Il21,Vps52,Tiam1,Pip4k2a,Tbce,Cdc25b,Nfatc1,Cd28,Dock2,Casp4,Raf1,Jarid2,Fkbp1a,Itgav,Capn2,Maf,Camk2d,Top2a,Vim,Gpr183
GO:1902531	regulation of intracellular signal transduction	1.21806441262411e-08	-18.2234176921351	1277	24	0.230769230769231	104	20899	240354,110157,94176,12487,210789,11677,21844,20515,60505,26921,108058,18750,321019,12053,93679,72121,13196,98366,19247,14360,12504,16410,66629,14225	Malt1,Raf1,Dock2,Cd28,Tbc1d4,Akr1b3,Tiam1,Slc20a1,Il21,Map4k4,Camk2d,Prkca,Gpr183,Bcl6,Trim8,Dennd2d,Asap1,Smap1,Ptpn11,Fyn,Cd4,Itgav,Golph3,Fkbp1a
GO:0048534	hematopoietic or lymphoid organ development	4.7882430873628e-08	-16.8545171874195	603	16	0.153846153846154	104	20899	21973,227525,321019,12053,20737,19247,12504,16468,12145,240354,18718,12487,94176,18018,13653,21949	Top2a,Dclre1c,Gpr183,Bcl6,Spn,Ptpn11,Cd4,Jarid2,Cxcr5,Malt1,Pip4k2a,Cd28,Dock2,Nfatc1,Egr1,Tnfsf8
GO:0002520	immune system development	8.54032851651085e-08	-16.2758812689163	629	16	0.153846153846154	104	20899	12504,16468,19247,227525,21973,12053,20737,321019,13653,21949,18718,18018,12487,94176,240354,12145	Cd4,Jarid2,Ptpn11,Dclre1c,Top2a,Bcl6,Spn,Gpr183,Egr1,Tnfsf8,Pip4k2a,Nfatc1,Cd28,Dock2,Malt1,Cxcr5
GO:1902533	positive regulation of intracellular signal transduction	1.12845451856632e-07	-15.9972466370504	642	16	0.153846153846154	104	20899	240354,12487,94176,11677,20515,60505,108058,18750,321019,93679,19247,14360,12504,16410,66629,14225	Malt1,Cd28,Dock2,Akr1b3,Slc20a1,Il21,Camk2d,Prkca,Gpr183,Trim8,Ptpn11,Fyn,Cd4,Itgav,Golph3,Fkbp1a
GO:0019220	regulation of phosphate metabolic process	1.183086002492e-07	-15.9499693699637	1553	25	0.240384615384615	104	20899	14225,16410,12504,19247,98366,171580,107338,13196,72121,12053,20737,18750,321019,108058,26921,60505,21844,210789,94176,11513,223989,12531,110157,12006,240354	Fkbp1a,Itgav,Cd4,Ptpn11,Smap1,Mical1,Gbf1,Asap1,Dennd2d,Bcl6,Spn,Prkca,Gpr183,Camk2d,Map4k4,Il21,Tiam1,Tbc1d4,Dock2,Adcy7,Marf1,Cdc25b,Raf1,Axin2,Malt1
GO:0016043	cellular component organization	1.18630296813886e-07	-15.9472539292628	3674	41	0.394230769230769	104	20899	432508,110157,12648,17345,12363,94176,18018,11739,12531,70430,171580,98366,16410,66629,16468,14225,74479,22352,21973,14758,216238,56421,240354,12006,53860,269523,223989,14360,17158,27027,19247,12615,18750,12053,58194,227525,11569,101314,14007,13196,53625	Cpsf6,Raf1,Chd1,Mki67,Casp4,Dock2,Nfatc1,Slc25a4,Cdc25b,Tbce,Mical1,Smap1,Itgav,Golph3,Jarid2,Fkbp1a,Snx11,Vim,Top2a,Gpm6b,Eea1,Pfkp,Malt1,Axin2,Sept9,Vcp,Marf1,Fyn,Man2a1,Tspan32,Ptpn11,Cenpa,Prkca,Bcl6,Sh3kbp1,Dclre1c,Aebp2,Brk1,Celf2,Asap1,B3gnt2
GO:0051174	regulation of phosphorus metabolic process	1.25826134326814e-07	-15.8883647692099	1558	25	0.240384615384615	104	20899	72121,13196,107338,108058,18750,321019,20737,12053,12504,16410,14225,171580,19247,98366,12531,223989,11513,94176,12006,240354,110157,60505,26921,210789,21844	Dennd2d,Asap1,Gbf1,Camk2d,Prkca,Gpr183,Spn,Bcl6,Cd4,Itgav,Fkbp1a,Mical1,Ptpn11,Smap1,Cdc25b,Marf1,Adcy7,Dock2,Axin2,Malt1,Raf1,Il21,Map4k4,Tbc1d4,Tiam1
GO:0030098	lymphocyte differentiation	1.26474006171532e-07	-15.8832290347038	216	10	0.0961538461538462	104	20899	12504,13653,21949,227525,240354,20737,12053,321019,12487,94176	Cd4,Egr1,Tnfsf8,Dclre1c,Malt1,Spn,Bcl6,Gpr183,Cd28,Dock2
GO:0048522	positive regulation of cellular process	1.3310500225481e-07	-15.8321275295708	3541	40	0.384615384615385	104	20899	16410,66629,14225,16468,20163,98366,16797,93679,17132,321019,22352,21973,108058,60505,21949,21844,94176,11513,12487,18018,12531,110157,12363,12504,14360,19247,17158,101314,68098,18750,20737,12053,13653,20515,11677,18803,269523,12145,12006,240354	Itgav,Golph3,Fkbp1a,Jarid2,Rsu1,Smap1,Lat,Trim8,Maf,Gpr183,Vim,Top2a,Camk2d,Il21,Tnfsf8,Tiam1,Dock2,Adcy7,Cd28,Nfatc1,Cdc25b,Raf1,Casp4,Cd4,Fyn,Ptpn11,Man2a1,Brk1,Rchy1,Prkca,Spn,Bcl6,Egr1,Slc20a1,Akr1b3,Plcg1,Vcp,Cxcr5,Axin2,Malt1
GO:0042110	T cell activation	1.56523816879687e-07	-15.6700576540104	221	10	0.0961538461538462	104	20899	14225,21949,16410,12504,13653,14360,12487,94176,20737,240354	Fkbp1a,Tnfsf8,Itgav,Cd4,Egr1,Fyn,Cd28,Dock2,Spn,Malt1
GO:0002521	leukocyte differentiation	2.47819327985354e-07	-15.2105658724664	294	11	0.105769230769231	104	20899	20737,12053,321019,240354,227525,18018,94176,12487,21949,12504,13653	Spn,Bcl6,Gpr183,Malt1,Dclre1c,Nfatc1,Dock2,Cd28,Tnfsf8,Cd4,Egr1
GO:0044767	single-organism developmental process	2.86112284634002e-07	-15.0668814995598	4409	45	0.432692307692308	104	20899	110157,12363,18018,12487,94176,70430,18718,12531,21844,224705,26921,21949,60505,22352,321019,108058,21973,17132,12334,14225,16468,16410,12006,17904,240354,12145,18803,223989,16401,11677,13653,20737,12053,18750,227525,13196,101314,53625,14360,16764,13135,19247,17158,226090,12504	Raf1,Casp4,Nfatc1,Cd28,Dock2,Tbce,Pip4k2a,Cdc25b,Tiam1,Vps52,Map4k4,Tnfsf8,Il21,Vim,Gpr183,Camk2d,Top2a,Maf,Capn2,Fkbp1a,Jarid2,Itgav,Axin2,Myl6,Malt1,Cxcr5,Plcg1,Marf1,Itga4,Akr1b3,Egr1,Spn,Bcl6,Prkca,Dclre1c,Asap1,Brk1,B3gnt2,Fyn,Aff3,Dad1,Ptpn11,Man2a1,Ermp1,Cd4
