TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005622	intracellular	7.52684748029632e-07	-14.0996193581249	12044	85	0.80188679245283	106	20893	18718,22352,13135,74479,12615,12531,16468,16797,74203,17904,232201,26921,18985,12648,246177,14225,17345,17132,14702,252838,15273,74868,226090,269523,78541,16978,11739,14360,237256,228960,21973,16410,14073,224705,53625,98366,216238,20163,13196,20195,210789,97541,12006,72121,12363,93679,53860,11677,23959,171580,66629,66427,68098,11569,101314,13653,18018,108058,21844,94176,107338,12334,58194,16764,268512,110157,13178,67878,12504,18803,432508,14007,27027,70430,17158,15388,223989,12053,240354,68514,20250,19247,18750,227525,56421	Pip4k2a,Vim,Dad1,Snx11,Cenpa,Cdc25b,Jarid2,Lat,Eif4enif1,Myl6,Arhgap25,Map4k4,Pou2af1,Chd1,Myo1g,Fkbp1a,Mki67,Maf,Gng2,Tox,Hivep2,Tmem65,Ermp1,Vcp,Asb8,Lrrfip1,Slc25a4,Fyn,Zc3h12d,Stx16,Top2a,Itgav,Faah,Vps52,B3gnt2,Smap1,Eea1,Rsu1,Asap1,S100a11,Tbc1d4,Qars,Axin2,Dennd2d,Casp4,Trim8,Sept9,Akr1b3,Nt5e,Mical1,Golph3,Cyb5b,Rchy1,Aebp2,Brk1,Egr1,Nfatc1,Camk2d,Tiam1,Dock2,Gbf1,Capn2,Sh3kbp1,Aff3,Slc26a11,Raf1,Dck,Tmem33,Cd4,Plcg1,Cpsf6,Celf2,Tspan32,Tbce,Man2a1,Hnrnpl,Marf1,Bcl6,Malt1,Micu2,Scd2,Ptpn11,Prkca,Dclre1c,Pfkp
GO:0044464	cell part	9.08133668037856e-07	-13.9118742576842	14839	96	0.905660377358491	106	20893	12006,97541,210789,20195,16401,11513,12363,93679,72121,20163,13196,14073,224705,53625,16410,216238,98366,14360,11739,17470,16978,78541,269523,226090,21973,228960,237256,14758,14702,17132,17345,74868,15273,252838,12145,18985,246177,12648,14225,16797,16468,12531,12615,232201,26921,17904,12487,74203,22352,13135,18718,30925,20515,74479,19247,56421,227525,18750,12053,240354,20250,68514,17158,70430,223989,15388,14007,27027,268512,110157,432508,18803,20737,12504,13178,67878,12334,107338,16764,58194,13653,101314,11569,68098,108058,21844,94176,18018,11677,208154,53860,66629,66427,321019,23959,171580	Axin2,Qars,Tbc1d4,S100a11,Itga4,Adcy7,Casp4,Trim8,Dennd2d,Rsu1,Asap1,Faah,Vps52,B3gnt2,Itgav,Eea1,Smap1,Fyn,Slc25a4,Cd200,Lrrfip1,Asb8,Vcp,Ermp1,Top2a,Stx16,Zc3h12d,Gpm6b,Gng2,Maf,Mki67,Tmem65,Hivep2,Tox,Cxcr5,Pou2af1,Myo1g,Chd1,Fkbp1a,Lat,Jarid2,Cdc25b,Cenpa,Arhgap25,Map4k4,Myl6,Cd28,Eif4enif1,Vim,Dad1,Pip4k2a,Slamf6,Slc20a1,Snx11,Ptpn11,Pfkp,Dclre1c,Prkca,Bcl6,Malt1,Scd2,Micu2,Man2a1,Tbce,Marf1,Hnrnpl,Celf2,Tspan32,Slc26a11,Raf1,Cpsf6,Plcg1,Spn,Cd4,Dck,Tmem33,Capn2,Gbf1,Aff3,Sh3kbp1,Egr1,Brk1,Aebp2,Rchy1,Camk2d,Tiam1,Dock2,Nfatc1,Akr1b3,Btla,Sept9,Golph3,Cyb5b,Gpr183,Nt5e,Mical1
GO:0005623	cell	1.08849875940958e-06	-13.7307110959972	14876	96	0.905660377358491	106	20893	13135,22352,18718,30925,20515,74479,16797,16468,12615,12531,232201,26921,12487,17904,74203,12648,18985,246177,14225,14758,17132,17345,14702,252838,15273,74868,12145,14360,17470,11739,16978,269523,226090,78541,228960,21973,237256,14073,224705,53625,16410,216238,98366,20163,13196,12006,97541,210789,20195,16401,11513,12363,93679,72121,11677,53860,208154,66629,66427,321019,171580,23959,13653,101314,11569,68098,21844,108058,94176,18018,12334,107338,16764,58194,110157,268512,18803,20737,432508,12504,67878,13178,14007,27027,17158,70430,223989,15388,240354,12053,20250,68514,19247,56421,227525,18750	Dad1,Vim,Pip4k2a,Slamf6,Slc20a1,Snx11,Lat,Jarid2,Cenpa,Cdc25b,Arhgap25,Map4k4,Cd28,Myl6,Eif4enif1,Chd1,Pou2af1,Myo1g,Fkbp1a,Gpm6b,Maf,Mki67,Gng2,Tox,Hivep2,Tmem65,Cxcr5,Fyn,Cd200,Slc25a4,Lrrfip1,Vcp,Ermp1,Asb8,Stx16,Top2a,Zc3h12d,Faah,Vps52,B3gnt2,Itgav,Eea1,Smap1,Rsu1,Asap1,Axin2,Qars,Tbc1d4,S100a11,Itga4,Adcy7,Casp4,Trim8,Dennd2d,Akr1b3,Sept9,Btla,Golph3,Cyb5b,Gpr183,Mical1,Nt5e,Egr1,Brk1,Aebp2,Rchy1,Tiam1,Camk2d,Dock2,Nfatc1,Capn2,Gbf1,Aff3,Sh3kbp1,Raf1,Slc26a11,Plcg1,Spn,Cpsf6,Cd4,Tmem33,Dck,Celf2,Tspan32,Man2a1,Tbce,Marf1,Hnrnpl,Malt1,Bcl6,Scd2,Micu2,Ptpn11,Pfkp,Dclre1c,Prkca
GO:0043226	organelle	3.68683027698443e-06	-12.510743472594	11266	80	0.754716981132076	106	20893	17132,17345,14702,74868,252838,15273,246177,12648,18985,14225,12615,12531,16468,16797,74203,17904,30925,18718,13135,22352,74479,210789,20195,12006,93679,12363,16401,20163,16410,224705,53625,14073,216238,269523,226090,16978,11739,14360,26360,237256,228960,21973,268512,110157,67878,13178,12504,20737,18803,432508,107338,12334,58194,16764,68098,11569,13653,101314,18018,108058,94176,53860,11677,23959,171580,66427,66629,19247,18750,227525,56421,240354,12053,68514,20250,70430,17158,15388,223989,14007	Maf,Mki67,Gng2,Tmem65,Tox,Hivep2,Myo1g,Chd1,Pou2af1,Fkbp1a,Cenpa,Cdc25b,Jarid2,Lat,Eif4enif1,Myl6,Slamf6,Pip4k2a,Dad1,Vim,Snx11,Tbc1d4,S100a11,Axin2,Trim8,Casp4,Itga4,Rsu1,Itgav,Vps52,B3gnt2,Faah,Eea1,Vcp,Ermp1,Lrrfip1,Slc25a4,Fyn,Angptl2,Zc3h12d,Stx16,Top2a,Slc26a11,Raf1,Tmem33,Dck,Cd4,Spn,Plcg1,Cpsf6,Gbf1,Capn2,Sh3kbp1,Aff3,Rchy1,Aebp2,Egr1,Brk1,Nfatc1,Camk2d,Dock2,Sept9,Akr1b3,Nt5e,Mical1,Cyb5b,Golph3,Ptpn11,Prkca,Dclre1c,Pfkp,Malt1,Bcl6,Micu2,Scd2,Tbce,Man2a1,Hnrnpl,Marf1,Celf2
GO:0043227	membrane-bounded organelle	4.81021104494242e-06	-12.2447695985217	10470	76	0.716981132075472	106	20893	16797,16468,12615,12531,17904,74203,22352,13135,18718,30925,74479,17345,14702,17132,15273,252838,74868,12648,246177,18985,14225,14073,53625,224705,16410,216238,14360,11739,16978,269523,226090,21973,228960,237256,26360,12006,20195,210789,16401,93679,12363,20163,13653,101314,11569,68098,108058,94176,18018,11677,66629,66427,23959,268512,110157,20737,18803,432508,12504,13178,67878,12334,107338,16764,17158,223989,15388,14007,19247,56421,227525,18750,240354,12053,20250,68514	Lat,Jarid2,Cenpa,Cdc25b,Myl6,Eif4enif1,Vim,Dad1,Pip4k2a,Slamf6,Snx11,Mki67,Gng2,Maf,Hivep2,Tox,Tmem65,Chd1,Myo1g,Pou2af1,Fkbp1a,Faah,B3gnt2,Vps52,Itgav,Eea1,Fyn,Slc25a4,Lrrfip1,Vcp,Ermp1,Top2a,Stx16,Zc3h12d,Angptl2,Axin2,S100a11,Tbc1d4,Itga4,Trim8,Casp4,Rsu1,Egr1,Brk1,Aebp2,Rchy1,Camk2d,Dock2,Nfatc1,Akr1b3,Golph3,Cyb5b,Nt5e,Slc26a11,Raf1,Spn,Plcg1,Cpsf6,Cd4,Dck,Tmem33,Capn2,Gbf1,Aff3,Man2a1,Marf1,Hnrnpl,Celf2,Ptpn11,Pfkp,Dclre1c,Prkca,Malt1,Bcl6,Scd2,Micu2
GO:0044424	intracellular part	6.37411897545131e-06	-11.9632646763995	11829	82	0.773584905660377	106	20893	26921,74203,17904,16797,12615,12531,16468,74479,13135,22352,18718,15273,74868,252838,14702,17132,17345,14225,18985,12648,246177,216238,98366,14073,224705,53625,16410,237256,228960,21973,11739,14360,269523,78541,226090,16978,12363,93679,72121,12006,20195,210789,97541,13196,108058,21844,94176,18018,11569,101314,13653,68098,66629,66427,23959,171580,53860,11677,12504,18803,432508,67878,13178,110157,268512,58194,16764,12334,107338,223989,15388,70430,17158,14007,227525,56421,18750,19247,20250,68514,240354,12053	Map4k4,Eif4enif1,Myl6,Lat,Cenpa,Cdc25b,Jarid2,Snx11,Dad1,Vim,Pip4k2a,Hivep2,Tmem65,Tox,Gng2,Maf,Mki67,Fkbp1a,Pou2af1,Chd1,Myo1g,Eea1,Smap1,Faah,Vps52,B3gnt2,Itgav,Zc3h12d,Stx16,Top2a,Slc25a4,Fyn,Vcp,Asb8,Ermp1,Lrrfip1,Casp4,Trim8,Dennd2d,Axin2,S100a11,Tbc1d4,Qars,Asap1,Camk2d,Tiam1,Dock2,Nfatc1,Aebp2,Brk1,Egr1,Rchy1,Golph3,Cyb5b,Nt5e,Mical1,Sept9,Akr1b3,Cd4,Plcg1,Cpsf6,Tmem33,Dck,Raf1,Slc26a11,Sh3kbp1,Aff3,Capn2,Gbf1,Marf1,Hnrnpl,Tbce,Man2a1,Celf2,Dclre1c,Pfkp,Prkca,Ptpn11,Scd2,Micu2,Malt1,Bcl6
GO:0070062	extracellular vesicular exosome	2.94883197217329e-05	-10.4315163146603	2335	27	0.254716981132075	106	20893	14702,268512,210789,56421,20737,16401,18750,67878,246177,12334,20163,14225,101314,53625,17158,16410,216238,94176,17904,15388,22352,13135,30925,269523,11677,23959,26360	Gng2,Slc26a11,Tbc1d4,Pfkp,Spn,Itga4,Prkca,Tmem33,Myo1g,Capn2,Rsu1,Fkbp1a,Brk1,B3gnt2,Man2a1,Itgav,Eea1,Dock2,Myl6,Hnrnpl,Vim,Dad1,Slamf6,Vcp,Akr1b3,Nt5e,Angptl2
GO:0043230	extracellular organelle	3.10977439088878e-05	-10.378375284533	2342	27	0.254716981132075	106	20893	246177,12334,20163,14225,268512,210789,14702,18750,67878,56421,20737,16401,30925,11677,269523,22352,13135,23959,26360,17158,16410,101314,53625,15388,17904,216238,94176	Myo1g,Capn2,Rsu1,Fkbp1a,Slc26a11,Tbc1d4,Gng2,Prkca,Tmem33,Pfkp,Spn,Itga4,Slamf6,Akr1b3,Vcp,Vim,Dad1,Nt5e,Angptl2,Man2a1,Itgav,Brk1,B3gnt2,Hnrnpl,Myl6,Eea1,Dock2
GO:0065010	extracellular membrane-bounded organelle	3.10977439088878e-05	-10.378375284533	2342	27	0.254716981132075	106	20893	11677,269523,30925,22352,13135,26360,23959,16410,17158,53625,101314,15388,17904,216238,94176,20163,12334,246177,14225,210789,268512,14702,67878,18750,16401,56421,20737	Akr1b3,Vcp,Slamf6,Vim,Dad1,Angptl2,Nt5e,Itgav,Man2a1,B3gnt2,Brk1,Hnrnpl,Myl6,Eea1,Dock2,Rsu1,Capn2,Myo1g,Fkbp1a,Tbc1d4,Slc26a11,Gng2,Tmem33,Prkca,Itga4,Pfkp,Spn
GO:0016020	membrane	5.29234015234383e-05	-9.84666494407421	9004	66	0.622641509433962	106	20893	14225,246177,12145,74868,21949,14702,17345,14758,74479,20515,30925,18718,13135,22352,74203,12487,17904,16797,13196,12363,16401,11513,12006,228960,269523,226090,16978,17470,11739,14360,170748,98366,216238,16410,53625,224705,14073,58194,107338,12334,54608,67878,12504,20737,432508,18803,110157,268512,23959,321019,66629,66427,208154,94176,108058,21844,68514,20250,74315,18750,56421,19247,27027,15388,223989,17158	Fkbp1a,Myo1g,Cxcr5,Tmem65,Tnfsf8,Gng2,Mki67,Gpm6b,Snx11,Slc20a1,Slamf6,Pip4k2a,Dad1,Vim,Eif4enif1,Cd28,Myl6,Lat,Asap1,Casp4,Itga4,Adcy7,Axin2,Stx16,Vcp,Ermp1,Lrrfip1,Cd200,Slc25a4,Fyn,Smco4,Smap1,Eea1,Itgav,B3gnt2,Vps52,Faah,Sh3kbp1,Gbf1,Capn2,Abhd2,Tmem33,Cd4,Spn,Cpsf6,Plcg1,Raf1,Slc26a11,Nt5e,Gpr183,Golph3,Cyb5b,Btla,Dock2,Camk2d,Tiam1,Micu2,Scd2,Rnf145,Prkca,Pfkp,Ptpn11,Tspan32,Hnrnpl,Marf1,Man2a1
