TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
12402	Cbl (Casitas B-lineage lymphoma)	0.000111968201389157	-9.09729564314924	51	5	0.0892857142857143	56	5857	58194,18018,19247,18803,14360	Sh3kbp1,Nfatc1,Ptpn11,Plcg1,Fyn
16331	Inpp5d (inositol polyphosphate-5-phosphatase D)	0.0014535012838503	-6.5337799546838	24	3	0.0535714285714286	56	5857	58194,19247,20163	Sh3kbp1,Ptpn11,Rsu1
19878	Rock2 (Rho-associated coiled-coil containing protein kinase 2)	0.00182859863671039	-6.30420537777158	7	2	0.0357142857142857	56	5857	22352,110157	Vim,Raf1
14055	Ezh1 (enhancer of zeste homolog 1 (Drosophila))	0.00182859863671039	-6.30420537777158	7	2	0.0357142857142857	56	5857	11569,16468	Aebp2,Jarid2
18596	Pdgfrb (platelet derived growth factor receptor, beta polypeptide)	0.00309644726011374	-5.77749986982753	9	2	0.0357142857142857	56	5857	19247,18803	Ptpn11,Plcg1
14812	Grin2b (glutamate receptor, ionotropic, NMDA2B (epsilon 2))	0.00387793612985472	-5.55245219216458	68	4	0.0714285714285714	56	5857	14360,18803,110157,19247	Fyn,Plcg1,Raf1,Ptpn11
59287	Ncstn (nicastrin)	0.00557328745135091	-5.18977019244069	12	2	0.0357142857142857	56	5857	269523,216238	Vcp,Eea1
52615	Suz12 (suppressor of zeste 12 homolog (Drosophila))	0.00870520575063879	-4.74383407012646	15	2	0.0357142857142857	56	5857	11569,16468	Aebp2,Jarid2
8411	EEA1 (early endosome antigen 1)	0.00956120881001874	-4.65004111534964	1	1	0.0178571428571429	56	5857	216238	Eea1
994	CDC25B (cell division cycle 25B)	0.00956120881001874	-4.65004111534964	1	1	0.0178571428571429	56	5857	12531	Cdc25b
212541	Rho (rhodopsin)	0.00956120881001874	-4.65004111534964	1	1	0.0178571428571429	56	5857	269523	Vcp
29079	MED4 (mediator complex subunit 4)	0.00956120881001874	-4.65004111534964	1	1	0.0178571428571429	56	5857	13196	Asap1
9659	PDE4DIP (phosphodiesterase 4D interacting protein)	0.00956120881001874	-4.65004111534964	1	1	0.0178571428571429	56	5857	13196	Asap1
