TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR003116	Raf-like_ras-bd	0.000614561318472696	-7.39460184797602	7	2	0.0188679245283019	106	19328	21844,110157	Tiam1,Raf1
IPR029030	Caspase-like_dom	0.00189717822147048	-6.26738764332756	12	2	0.0188679245283019	106	19328	240354,12363	Malt1,Casp4
IPR001309	Pept_C14_ICE_p20	0.00189717822147048	-6.26738764332756	12	2	0.0188679245283019	106	19328	240354,12363	Malt1,Casp4
IPR011600	Pept_C14_caspase	0.00189717822147048	-6.26738764332756	12	2	0.0188679245283019	106	19328	240354,12363	Malt1,Casp4
IPR018184	Integrin_alpha_C_CS	0.00384005630239159	-5.56226825040884	17	2	0.0188679245283019	106	19328	16410,16401	Itgav,Itga4
IPR013649	Integrin_alpha-2	0.00430466109723664	-5.44805686725896	18	2	0.0188679245283019	106	19328	16401,16410	Itga4,Itgav
IPR000413	Integrin_alpha	0.00430466109723664	-5.44805686725896	18	2	0.0188679245283019	106	19328	16401,16410	Itga4,Itgav
IPR013519	Int_alpha_beta-p	0.00479394612009454	-5.34040138206219	19	2	0.0188679245283019	106	19328	16410,16401	Itgav,Itga4
IPR012568	K167R	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	17345	Mki67
IPR028482	S100A11	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	20195	S100a11
IPR001053	Chemokine_CXCR5	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	12145	Cxcr5
IPR021139	NYN_limkain-b1	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	223989	Marf1
IPR024582	Limkain_b1_cons_dom	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	223989	Marf1
IPR024768	Marf1	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	223989	Marf1
IPR017921	Znf_CTCHY	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	68098	Rchy1
IPR008093	CD28	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	12487	Cd28
IPR008913	Znf_CHY	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	68098	Rchy1
IPR003038	DAD/Ost2	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	13135	Dad1
IPR028655	SNX11	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	74479	Snx11
IPR021963	Tcell_CD4_Cterm	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	12504	Cd4
IPR028673	STX16	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	228960	Stx16
IPR007258	Vps52	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	224705	Vps52
IPR004514	Gln-tRNA-synth	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	97541	Qars
IPR020556	Amidase_CS	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	14073	Faah
IPR028151	IL-21	0.00548427152316595	-5.20587100662482	1	1	0.00943396226415094	106	19328	60505	Il21
