TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu04660	T cell receptor signaling pathway	9.62966652673099e-07	-13.8532470543324	105	8	0.142857142857143	56	7453	18018,12504,18803,110157,16797,12487,14360,240354	Nfatc1,Cd4,Plcg1,Raf1,Lat,Cd28,Fyn,Malt1
ko04660	T cell receptor signaling pathway	9.62966652673099e-07	-13.8532470543324	105	8	0.142857142857143	56	7453	18018,12504,110157,18803,16797,12487,14360,240354	Nfatc1,Cd4,Raf1,Plcg1,Lat,Cd28,Fyn,Malt1
mmu04650	Natural killer cell mediated cytotoxicity	2.54644022413671e-05	-10.5782290716371	118	7	0.125	56	7453	110157,18803,16797,18750,18018,14360,19247	Raf1,Plcg1,Lat,Prkca,Nfatc1,Fyn,Ptpn11
ko04650	Natural killer cell mediated cytotoxicity	2.54644022413671e-05	-10.5782290716371	118	7	0.125	56	7453	110157,18803,16797,18018,18750,14360,19247	Raf1,Plcg1,Lat,Nfatc1,Prkca,Fyn,Ptpn11
ko04666	Fc gamma R-mediated phagocytosis	4.05005172789483e-05	-10.1141958116136	86	6	0.107142857142857	56	7453	18803,110157,13196,16797,94176,18750	Plcg1,Raf1,Asap1,Lat,Dock2,Prkca
mmu04666	Fc gamma R-mediated phagocytosis	4.05005172789483e-05	-10.1141958116136	86	6	0.107142857142857	56	7453	110157,13196,18803,16797,94176,18750	Raf1,Asap1,Plcg1,Lat,Dock2,Prkca
mmu04664	Fc epsilon RI signaling pathway	0.000155623681958276	-8.76806976012558	69	5	0.0892857142857143	56	7453	16797,110157,18803,14360,18750	Lat,Raf1,Plcg1,Fyn,Prkca
ko04664	Fc epsilon RI signaling pathway	0.000155623681958276	-8.76806976012558	69	5	0.0892857142857143	56	7453	14360,18750,16797,18803,110157	Fyn,Prkca,Lat,Plcg1,Raf1
mmu04919	Thyroid hormone signaling pathway	0.000236035329045864	-8.35152906479561	118	6	0.107142857142857	56	7453	16410,110157,18803,210789,56421,18750	Itgav,Raf1,Plcg1,Tbc1d4,Pfkp,Prkca
mmu04921	Oxytocin signaling pathway	0.00111671209650311	-6.7973665392052	158	6	0.107142857142857	56	7453	108058,18750,18018,110157,11513,17904	Camk2d,Prkca,Nfatc1,Raf1,Adcy7,Myl6
ko04921	Oxytocin signaling pathway	0.00111671209650311	-6.7973665392052	158	6	0.107142857142857	56	7453	108058,18750,18018,110157,11513,17904	Camk2d,Prkca,Nfatc1,Raf1,Adcy7,Myl6
ko05214	Glioma	0.00137745609230715	-6.58751689235836	65	4	0.0714285714285714	56	7453	18750,108058,110157,18803	Prkca,Camk2d,Raf1,Plcg1
mmu05214	Glioma	0.00137745609230715	-6.58751689235836	65	4	0.0714285714285714	56	7453	18750,108058,110157,18803	Prkca,Camk2d,Raf1,Plcg1
mmu05205	Proteoglycans in cancer	0.00140589836479002	-6.56707877498456	226	7	0.125	56	7453	18803,16410,110157,21844,19247,18750,108058	Plcg1,Itgav,Raf1,Tiam1,Ptpn11,Prkca,Camk2d
ko05205	Proteoglycans in cancer	0.00140589836479002	-6.56707877498456	226	7	0.125	56	7453	110157,18803,16410,19247,21844,108058,18750	Raf1,Plcg1,Itgav,Ptpn11,Tiam1,Camk2d,Prkca
mmu04014	Ras signaling pathway	0.00144225640358583	-6.54154644484002	227	7	0.125	56	7453	16797,14702,110157,18803,21844,19247,18750	Lat,Gng2,Raf1,Plcg1,Tiam1,Ptpn11,Prkca
mmu04725	Cholinergic synapse	0.00145430505736073	-6.53322711626433	112	5	0.0892857142857143	56	7453	14702,11513,14360,18750,108058	Gng2,Adcy7,Fyn,Prkca,Camk2d
mmu04062	Chemokine signaling pathway	0.00293111767718518	-5.83237146890029	191	6	0.107142857142857	56	7453	110157,11513,94176,14702,12145,21844	Raf1,Adcy7,Dock2,Gng2,Cxcr5,Tiam1
ko04062	Chemokine signaling pathway	0.00293111767718518	-5.83237146890029	191	6	0.107142857142857	56	7453	110157,14702,11513,94176,12145,21844	Raf1,Gng2,Adcy7,Dock2,Cxcr5,Tiam1
ko04012	ErbB signaling pathway	0.00400852193793599	-5.51933269964206	87	4	0.0714285714285714	56	7453	18803,110157,108058,18750	Plcg1,Raf1,Camk2d,Prkca
mmu04012	ErbB signaling pathway	0.00400852193793599	-5.51933269964206	87	4	0.0714285714285714	56	7453	18803,110157,18750,108058	Plcg1,Raf1,Prkca,Camk2d
mmu04912	GnRH signaling pathway	0.00434861526665438	-5.43789781406388	89	4	0.0714285714285714	56	7453	108058,18750,110157,11513	Camk2d,Prkca,Raf1,Adcy7
ko04912	GnRH signaling pathway	0.00434861526665438	-5.43789781406388	89	4	0.0714285714285714	56	7453	110157,11513,108058,18750	Raf1,Adcy7,Camk2d,Prkca
mmu04510	Focal adhesion	0.00435921009694901	-5.43546440845908	207	6	0.107142857142857	56	7453	18750,14360,16401,110157,16410,12334	Prkca,Fyn,Itga4,Raf1,Itgav,Capn2
ko04510	Focal adhesion	0.00435921009694901	-5.43546440845908	207	6	0.107142857142857	56	7453	14360,18750,12334,16401,110157,16410	Fyn,Prkca,Capn2,Itga4,Raf1,Itgav
ko04015	Rap1 signaling pathway	0.00512453301327113	-5.27371587747102	214	6	0.107142857142857	56	7453	18750,21844,110157,18803,11513,16797	Prkca,Tiam1,Raf1,Plcg1,Adcy7,Lat
mmu04015	Rap1 signaling pathway	0.00512453301327113	-5.27371587747102	214	6	0.107142857142857	56	7453	21844,18750,16797,11513,18803,110157	Tiam1,Prkca,Lat,Adcy7,Plcg1,Raf1
mmu04810	Regulation of actin cytoskeleton	0.0053603469787858	-5.22872657114654	216	6	0.107142857142857	56	7453	21844,101314,16410,110157,16401,18718	Tiam1,Brk1,Itgav,Raf1,Itga4,Pip4k2a
ko04810	Regulation of actin cytoskeleton	0.0053603469787858	-5.22872657114654	216	6	0.107142857142857	56	7453	21844,101314,16410,110157,16401,18718	Tiam1,Brk1,Itgav,Raf1,Itga4,Pip4k2a
ko04713	Circadian entrainment	0.00590390612932063	-5.13214109131568	97	4	0.0714285714285714	56	7453	14702,11513,18750,108058	Gng2,Adcy7,Prkca,Camk2d
mmu04713	Circadian entrainment	0.00590390612932063	-5.13214109131568	97	4	0.0714285714285714	56	7453	14702,11513,108058,18750	Gng2,Adcy7,Camk2d,Prkca
mmu04514	Cell adhesion molecules (CAMs)	0.00642805127143061	-5.04708385487381	158	5	0.0892857142857143	56	7453	16410,16401,12487,20737,12504	Itgav,Itga4,Cd28,Spn,Cd4
ko04514	Cell adhesion molecules (CAMs)	0.00642805127143061	-5.04708385487381	158	5	0.0892857142857143	56	7453	12487,20737,16410,16401,12504	Cd28,Spn,Itgav,Itga4,Cd4
