TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005488	binding	1.36621161221865e-07	-15.8060539880312	11627	85	0.80952380952381	105	20484	58194,12487,13178,98366,17904,321019,93679,21949,17345,17158,14007,66629,13196,14702,56421,97541,432508,107338,74203,23959,74479,14073,16401,12334,16978,20737,68098,252838,20250,94176,11513,67878,223989,12531,237256,26921,21844,68514,210789,53860,22352,12615,208154,15273,18803,171580,18018,108058,15388,12504,18750,216238,14225,12053,17470,226090,12648,13653,74315,70430,20195,110157,101314,16468,12006,12363,11739,16764,17132,21973,60505,16797,246177,228960,18985,269523,319638,18718,11569,14360,19247,240354,66427,54484,16410	Sh3kbp1,Cd28,Dck,Smap1,Myl6,Gpr183,Trim8,Tnfsf8,Mki67,Man2a1,Celf2,Golph3,Asap1,Gng2,Pfkp,Qars,Cpsf6,Gbf1,Eif4enif1,Nt5e,Snx11,Faah,Itga4,Capn2,Lrrfip1,Spn,Rchy1,Tox,Scd2,Dock2,Adcy7,Tmem33,Marf1,Cdc25b,Zc3h12d,Map4k4,Tiam1,Micu2,Tbc1d4,Sept9,Vim,Cenpa,Btla,Hivep2,Plcg1,Mical1,Nfatc1,Camk2d,Hnrnpl,Cd4,Prkca,Eea1,Fkbp1a,Bcl6,Cd200,Ermp1,Chd1,Egr1,Rnf145,Tbce,S100a11,Raf1,Brk1,Jarid2,Axin2,Casp4,Slc25a4,Aff3,Maf,Top2a,Il21,Lat,Myo1g,Stx16,Pou2af1,Vcp,Nt5dc1,Pip4k2a,Aebp2,Fyn,Ptpn11,Malt1,Cyb5b,Mkrn1,Itgav
GO:0019899	enzyme binding	4.46482803892642e-07	-14.6218649504899	1390	23	0.219047619047619	105	20484	19247,97541,269523,18803,110157,16410,240354,22352,13653,12504,11739,18750,101314,12487,108058,12006,18018,171580,66629,21973,12531,14225,16797	Ptpn11,Qars,Vcp,Plcg1,Raf1,Itgav,Malt1,Vim,Egr1,Cd4,Slc25a4,Prkca,Brk1,Cd28,Camk2d,Axin2,Nfatc1,Mical1,Golph3,Top2a,Cdc25b,Fkbp1a,Lat
GO:0005515	protein binding	8.93230960531033e-07	-13.9284206550968	7133	61	0.580952380952381	105	20484	56421,14702,14225,13196,216238,66629,17345,18750,21949,93679,12504,98366,108058,13178,12487,18018,58194,171580,20195,110157,70430,12334,14073,16401,13653,12648,74203,17470,107338,97541,12053,21844,18985,228960,12531,246177,16797,21973,60505,67878,17132,94176,11739,12363,12006,68098,101314,16468,16978,20737,16410,18803,208154,12615,240354,22352,14360,19247,210789,269523,68514	Pfkp,Gng2,Fkbp1a,Asap1,Eea1,Golph3,Mki67,Prkca,Tnfsf8,Trim8,Cd4,Smap1,Camk2d,Dck,Cd28,Nfatc1,Sh3kbp1,Mical1,S100a11,Raf1,Tbce,Capn2,Faah,Itga4,Egr1,Chd1,Eif4enif1,Cd200,Gbf1,Qars,Bcl6,Tiam1,Pou2af1,Stx16,Cdc25b,Myo1g,Lat,Top2a,Il21,Tmem33,Maf,Dock2,Slc25a4,Casp4,Axin2,Rchy1,Brk1,Jarid2,Lrrfip1,Spn,Itgav,Plcg1,Btla,Cenpa,Malt1,Vim,Fyn,Ptpn11,Tbc1d4,Vcp,Micu2
GO:0019901	protein kinase binding	2.4775149027151e-05	-10.6056694625433	461	11	0.104761904761905	105	20484	18803,110157,16410,22352,21973,12531,16797,12504,12006,97541,18018	Plcg1,Raf1,Itgav,Vim,Top2a,Cdc25b,Lat,Cd4,Axin2,Qars,Nfatc1
GO:0019900	kinase binding	6.51961200550647e-05	-9.63811059916026	513	11	0.104761904761905	105	20484	22352,21973,16797,12531,16410,110157,18803,18018,97541,12006,12504	Vim,Top2a,Lat,Cdc25b,Itgav,Raf1,Plcg1,Nfatc1,Qars,Axin2,Cd4
GO:0043167	ion binding	0.000110462781270655	-9.11083191482347	5466	46	0.438095238095238	105	20484	237256,26921,21844,21973,246177,20250,11513,68098,66427,54484,15273,16410,18803,11569,18718,14360,53860,68514,319638,269523,56421,17158,216238,66629,13196,98366,12504,17904,93679,18750,171580,108058,13178,14073,74479,74315,16401,12334,20195,110157,12648,23959,13653,226090,12053,97541	Zc3h12d,Map4k4,Tiam1,Top2a,Myo1g,Scd2,Adcy7,Rchy1,Cyb5b,Mkrn1,Hivep2,Itgav,Plcg1,Aebp2,Pip4k2a,Fyn,Sept9,Micu2,Nt5dc1,Vcp,Pfkp,Man2a1,Eea1,Golph3,Asap1,Smap1,Cd4,Myl6,Trim8,Prkca,Mical1,Camk2d,Dck,Faah,Snx11,Rnf145,Itga4,Capn2,S100a11,Raf1,Chd1,Nt5e,Egr1,Ermp1,Bcl6,Qars
GO:0046983	protein dimerization activity	0.000112041949548046	-9.09663720725923	1074	16	0.152380952380952	105	20484	12504,93679,17132,16978,68098,12487,13178,21973,216238,14225,68514,14073,12334,16410,110157,12615	Cd4,Trim8,Maf,Lrrfip1,Rchy1,Cd28,Dck,Top2a,Eea1,Fkbp1a,Micu2,Faah,Capn2,Itgav,Raf1,Cenpa
GO:0008047	enzyme activator activity	0.000114234892134446	-9.07725377208087	367	9	0.0857142857142857	105	20484	13196,240354,232201,66427,12006,269523,94176,98366,210789	Asap1,Malt1,Arhgap25,Cyb5b,Axin2,Vcp,Dock2,Smap1,Tbc1d4
GO:0005070	SH3/SH2 adaptor activity	0.000140024039542285	-8.87369643907929	20	3	0.0285714285714286	105	20484	12487,16797,19247	Cd28,Lat,Ptpn11
GO:0046872	metal ion binding	0.000157904136813766	-8.75352243809864	3591	34	0.323809523809524	105	20484	66427,54484,15273,16410,18803,11569,14360,68514,319638,237256,21973,20250,11513,68098,74315,16401,12334,20195,110157,23959,13653,226090,12053,56421,17158,216238,13196,98366,17904,12504,93679,18750,171580,13178	Cyb5b,Mkrn1,Hivep2,Itgav,Plcg1,Aebp2,Fyn,Micu2,Nt5dc1,Zc3h12d,Top2a,Scd2,Adcy7,Rchy1,Rnf145,Itga4,Capn2,S100a11,Raf1,Nt5e,Egr1,Ermp1,Bcl6,Pfkp,Man2a1,Eea1,Asap1,Smap1,Myl6,Cd4,Trim8,Prkca,Mical1,Dck
