TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
5892920	Immune System	6.74474625976254e-07	-14.2093317810184	1036	23	0.433962264150943	53	6863	16797,16410,78541,68098,240354,12504,18750,17470,18018,216238,110157,16978,54484,108058,12487,14360,11513,101314,16401,19247,208154,18803,58194	Lat,Itgav,Asb8,Rchy1,Malt1,Cd4,Prkca,Cd200,Nfatc1,Eea1,Raf1,Lrrfip1,Mkrn1,Camk2d,Cd28,Fyn,Adcy7,Brk1,Itga4,Ptpn11,Btla,Plcg1,Sh3kbp1
5892925	Adaptive Immune System	1.49701769713879e-06	-13.4120356308607	536	16	0.30188679245283	53	6863	16797,16410,78541,68098,240354,12504,17470,110157,54484,14360,12487,16401,208154,18803,19247,58194	Lat,Itgav,Asb8,Rchy1,Malt1,Cd4,Cd200,Raf1,Mkrn1,Fyn,Cd28,Itga4,Btla,Plcg1,Ptpn11,Sh3kbp1
5892917	DAP12 signaling	1.29829936845271e-05	-11.251870235028	145	8	0.150943396226415	53	6863	18750,19247,18803,11513,12487,14360,110157,16797	Prkca,Ptpn11,Plcg1,Adcy7,Cd28,Fyn,Raf1,Lat
5892927	Fc epsilon receptor (FCERI) signaling	2.2150543268729e-05	-10.717648534969	156	8	0.150943396226415	53	6863	16797,110157,14360,12487,240354,18803,19247,18018	Lat,Raf1,Fyn,Cd28,Malt1,Plcg1,Ptpn11,Nfatc1
5892918	DAP12 interactions	2.32026188679103e-05	-10.6712454034252	157	8	0.150943396226415	53	6863	19247,18750,18803,12487,14360,11513,16797,110157	Ptpn11,Prkca,Plcg1,Cd28,Fyn,Adcy7,Lat,Raf1
5892913	Signaling by EGFR	2.66143872282673e-05	-10.5340586151527	160	8	0.150943396226415	53	6863	12487,14360,11513,110157,58194,18803,19247,18750	Cd28,Fyn,Adcy7,Raf1,Sh3kbp1,Plcg1,Ptpn11,Prkca
5892914	Signaling by EGFR in Cancer	2.91153966890385e-05	-10.4442434278654	162	8	0.150943396226415	53	6863	11513,14360,12487,110157,58194,18803,18750,19247	Adcy7,Fyn,Cd28,Raf1,Sh3kbp1,Plcg1,Prkca,Ptpn11
5892919	Innate Immune System	3.10987035295067e-05	-10.3783444268021	528	14	0.264150943396226	53	6863	240354,101314,11513,14360,12487,16978,110157,16797,216238,18018,18803,19247,18750,12504	Malt1,Brk1,Adcy7,Fyn,Cd28,Lrrfip1,Raf1,Lat,Eea1,Nfatc1,Plcg1,Ptpn11,Prkca,Cd4
5892909	Downstream signaling of activated FGFR	5.288307905776e-05	-9.84742713685123	129	7	0.132075471698113	53	6863	11513,14360,12487,18803,19247,18750,110157	Adcy7,Fyn,Cd28,Plcg1,Ptpn11,Prkca,Raf1
5893502	Costimulation by the CD28 family	6.42258734087778e-05	-9.65310441585834	56	5	0.0943396226415094	53	6863	12487,14360,12504,19247,208154	Cd28,Fyn,Cd4,Ptpn11,Btla
