TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0044267	cellular protein metabolic process	3.52670366953877e-06	-12.5551469279495	2357	25	0.297619047619048	84	20899	30843,20103,12043,228026,16451,68292,16428,16842,233789,241230,20102,66313,319195,19946,26406,20068,67245,234664,27362,20116,13831,20449,237860,12488,18103	Fbxl12,Rps5,Bcl2,Pdk1,Jak1,Stt3b,Itk,Lef1,Smg1,St8sia6,Rps4x,Smurf2,Rpl17,Rpl30,Map3k3,Rps17,Peli1,Nae1,Dnajb9,Rps8,Epc1,St8sia1,Ssh2,Cd2ap,Nme2
GO:0044260	cellular macromolecule metabolic process	4.72299328049967e-06	-12.26306778977	4976	39	0.464285714285714	84	20899	234664,27362,12488,237860,269254,226442,20102,13018,54598,319195,12014,320632,21411,241230,228026,12043,16451,20103,30843,20116,244059,67245,18103,268297,13831,20449,210711,56338,19946,20068,26406,66313,16842,56458,19941,233789,207165,68292,16428	Nae1,Dnajb9,Cd2ap,Ssh2,Setx,Zfp281,Rps4x,Ctcf,Calcrl,Rpl17,Bach2,Snrnp200,Tcf20,St8sia6,Pdk1,Bcl2,Jak1,Rps5,Fbxl12,Rps8,Chd2,Peli1,Nme2,Scml4,Epc1,St8sia1,Mcmbp,Txnip,Rpl30,Rps17,Map3k3,Smurf2,Lef1,Foxo1,Rpl26,Smg1,Bptf,Stt3b,Itk
GO:0043170	macromolecule metabolic process	5.13505683092259e-06	-12.1794196472793	5614	42	0.5	84	20899	68292,16428,207165,19941,233789,56458,16842,66313,56338,26406,19946,20068,210711,268297,20449,13831,18103,244059,67245,20116,30843,20103,228026,12043,16451,241230,66315,333789,21411,320632,319195,12014,12380,20102,54598,13018,269254,226442,237860,12488,27362,234664	Stt3b,Itk,Bptf,Rpl26,Smg1,Foxo1,Lef1,Smurf2,Txnip,Map3k3,Rpl30,Rps17,Mcmbp,Scml4,St8sia1,Epc1,Nme2,Chd2,Peli1,Rps8,Fbxl12,Rps5,Pdk1,Bcl2,Jak1,St8sia6,Senp7,N4bp2,Tcf20,Snrnp200,Rpl17,Bach2,Cast,Rps4x,Calcrl,Ctcf,Setx,Zfp281,Ssh2,Cd2ap,Dnajb9,Nae1
GO:0044238	primary metabolic process	9.56024869956012e-06	-11.557896816641	7067	48	0.571428571428571	84	20899	12763,19941,233789,16842,56458,11933,16428,68292,207165,18103,20449,13831,268297,20116,244059,67245,56338,19946,20068,26406,21822,66313,11931,210711,241230,333789,21411,66315,228026,12043,16451,67963,20103,30843,12488,237860,234664,27362,319195,12014,12380,320632,269254,226442,20102,238871,54598,13018	Cmah,Rpl26,Smg1,Lef1,Foxo1,Atp1b3,Itk,Stt3b,Bptf,Nme2,St8sia1,Epc1,Scml4,Rps8,Chd2,Peli1,Txnip,Rpl30,Rps17,Map3k3,Tgtp1,Smurf2,Atp1b1,Mcmbp,St8sia6,N4bp2,Tcf20,Senp7,Pdk1,Bcl2,Jak1,Npc2,Rps5,Fbxl12,Cd2ap,Ssh2,Nae1,Dnajb9,Rpl17,Bach2,Cast,Snrnp200,Setx,Zfp281,Rps4x,Pde4d,Calcrl,Ctcf
GO:0071704	organic substance metabolic process	2.51182405587477e-05	-10.5919162602684	7297	48	0.571428571428571	84	20899	20449,268297,13831,18103,67245,244059,20116,11931,21822,66313,26406,19946,20068,56338,210711,233789,19941,12763,56458,16842,68292,16428,11933,207165,237860,12488,27362,234664,320632,12014,12380,319195,54598,13018,20102,238871,226442,269254,241230,66315,21411,333789,30843,20103,67963,16451,228026,12043	St8sia1,Scml4,Epc1,Nme2,Peli1,Chd2,Rps8,Atp1b1,Tgtp1,Smurf2,Map3k3,Rpl30,Rps17,Txnip,Mcmbp,Smg1,Rpl26,Cmah,Foxo1,Lef1,Stt3b,Itk,Atp1b3,Bptf,Ssh2,Cd2ap,Dnajb9,Nae1,Snrnp200,Bach2,Cast,Rpl17,Calcrl,Ctcf,Rps4x,Pde4d,Zfp281,Setx,St8sia6,Senp7,Tcf20,N4bp2,Fbxl12,Rps5,Npc2,Jak1,Pdk1,Bcl2
GO:0019538	protein metabolic process	3.42516716655619e-05	-10.2817751866935	3038	27	0.321428571428571	84	20899	67245,27362,234664,20116,13831,20449,237860,12488,18103,20102,66313,319195,26406,20068,19946,12380,66315,16842,241230,233789,20103,30843,228026,12043,16451,68292,16428	Peli1,Dnajb9,Nae1,Rps8,Epc1,St8sia1,Ssh2,Cd2ap,Nme2,Rps4x,Smurf2,Rpl17,Map3k3,Rps17,Rpl30,Cast,Senp7,Lef1,St8sia6,Smg1,Rps5,Fbxl12,Pdk1,Bcl2,Jak1,Stt3b,Itk
GO:0044237	cellular metabolic process	5.66322527680169e-05	-9.77893189815977	6814	45	0.535714285714286	84	20899	66313,21822,11931,56338,26406,19946,20068,210711,20449,268297,13831,18103,244059,67245,20116,16428,68292,11933,207165,19941,233789,12763,56458,16842,320632,319195,12014,20102,238871,54598,13018,269254,226442,237860,12488,234664,27362,30843,20103,12043,228026,16451,241230,333789,21411	Smurf2,Tgtp1,Atp1b1,Txnip,Map3k3,Rpl30,Rps17,Mcmbp,St8sia1,Scml4,Epc1,Nme2,Chd2,Peli1,Rps8,Itk,Stt3b,Atp1b3,Bptf,Rpl26,Smg1,Cmah,Foxo1,Lef1,Snrnp200,Rpl17,Bach2,Rps4x,Pde4d,Calcrl,Ctcf,Setx,Zfp281,Ssh2,Cd2ap,Nae1,Dnajb9,Fbxl12,Rps5,Bcl2,Pdk1,Jak1,St8sia6,N4bp2,Tcf20
GO:0008152	metabolic process	0.000288858229462977	-8.14957454570498	7950	48	0.571428571428571	84	20899	67245,244059,20116,268297,20449,13831,18103,210711,11931,21822,66313,19946,20068,26406,56338,56458,16842,233789,19941,12763,207165,68292,16428,11933,27362,234664,237860,12488,13018,54598,238871,20102,226442,269254,320632,12380,12014,319195,66315,21411,333789,241230,30843,20103,67963,16451,12043,228026	Peli1,Chd2,Rps8,Scml4,St8sia1,Epc1,Nme2,Mcmbp,Atp1b1,Tgtp1,Smurf2,Rpl30,Rps17,Map3k3,Txnip,Foxo1,Lef1,Smg1,Rpl26,Cmah,Bptf,Stt3b,Itk,Atp1b3,Dnajb9,Nae1,Ssh2,Cd2ap,Ctcf,Calcrl,Pde4d,Rps4x,Zfp281,Setx,Snrnp200,Cast,Bach2,Rpl17,Senp7,Tcf20,N4bp2,St8sia6,Fbxl12,Rps5,Npc2,Jak1,Bcl2,Pdk1
GO:0034645	cellular macromolecule biosynthetic process	0.000374651615826267	-7.88951398826784	2559	22	0.261904761904762	84	20899	13831,268297,20449,244059,20116,20068,19946,12014,56338,319195,210711,13018,20102,226442,269254,241230,56458,21411,16842,68292,20103,207165	Epc1,Scml4,St8sia1,Chd2,Rps8,Rps17,Rpl30,Bach2,Txnip,Rpl17,Mcmbp,Ctcf,Rps4x,Zfp281,Setx,St8sia6,Foxo1,Tcf20,Lef1,Stt3b,Rps5,Bptf
GO:0009059	macromolecule biosynthetic process	0.000426998542883198	-7.758729957193	2583	22	0.261904761904762	84	20899	56338,319195,12014,19946,20068,20102,210711,13018,269254,226442,13831,268297,20449,244059,20116,68292,207165,20103,241230,56458,21411,16842	Txnip,Rpl17,Bach2,Rpl30,Rps17,Rps4x,Mcmbp,Ctcf,Setx,Zfp281,Epc1,Scml4,St8sia1,Chd2,Rps8,Stt3b,Bptf,Rps5,St8sia6,Foxo1,Tcf20,Lef1
