TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0022626	cytosolic ribosome	1.99079987491467e-09	-20.0347293317758	83	8	0.0919540229885057	87	20893	19946,269261,19941,319195,20103,20116,267019,20068	Rpl30,Rpl12,Rpl26,Rpl17,Rps5,Rps8,Rps15a,Rps17
GO:0044391	ribosomal subunit	2.54246134888728e-09	-19.7901331901323	125	9	0.103448275862069	87	20893	267019,20116,20103,20068,269261,19946,19941,20102,319195	Rps15a,Rps8,Rps5,Rps17,Rpl12,Rpl30,Rpl26,Rps4x,Rpl17
GO:0005840	ribosome	9.36581882848652e-08	-16.1836139769093	189	9	0.103448275862069	87	20893	20068,20103,20116,267019,20102,19941,319195,19946,269261	Rps17,Rps5,Rps8,Rps15a,Rps4x,Rpl26,Rpl17,Rpl30,Rpl12
GO:0044445	cytosolic part	7.4842813080955e-07	-14.1052906553192	177	8	0.0919540229885057	87	20893	19941,319195,19946,269261,20068,20103,20116,267019	Rpl26,Rpl17,Rpl30,Rpl12,Rps17,Rps5,Rps8,Rps15a
GO:0005737	cytoplasm	4.0019710919531e-06	-12.4287235452288	9093	59	0.67816091954023	87	20893	11933,12043,267019,108837,20116,20103,226251,27215,78749,19946,12380,20102,29812,68292,24056,207165,67963,74201,12488,12695,16428,228026,16842,56508,20482,210711,12763,14605,54598,20449,16451,56338,20740,27360,237860,18103,19419,320982,233789,107022,13609,239319,109711,226849,30843,241230,66313,20068,100033459,27362,333789,269261,12014,269254,56458,238871,319195,234664,19941	Atp1b3,Bcl2,Rps15a,Ibtk,Rps8,Rps5,Ablim1,Azi2,Filip1l,Rpl30,Cast,Rps4x,Ndrg3,Stt3b,Sh3bp5,Bptf,Npc2,Cep97,Cd2ap,Inadl,Itk,Pdk1,Lef1,Rapgef4,Skil,Mcmbp,Cmah,Tsc22d3,Calcrl,St8sia1,Jak1,Txnip,Sptan1,Add3,Ssh2,Nme2,Rasgrp1,Arl4c,Smg1,Gramd3,S1pr1,Card6,Actn1,Ppp2r5a,Fbxl12,St8sia6,Smurf2,Rps17,Pydc3,Dnajb9,N4bp2,Rpl12,Bach2,Setx,Foxo1,Pde4d,Rpl17,Nae1,Rpl26
GO:0015935	small ribosomal subunit	4.67504649840352e-06	-12.2732714490905	59	5	0.0574712643678161	87	20893	267019,20103,20116,20068,20102	Rps15a,Rps5,Rps8,Rps17,Rps4x
GO:0005622	intracellular	5.66642657935711e-06	-12.0809518718225	12044	70	0.804597701149425	87	20893	67963,12695,210711,14605,54598,16842,20482,56508,13831,12043,11933,108837,20103,12380,20102,66315,78749,19946,66313,100033459,226849,30843,67245,56458,238871,319195,27360,268297,320982,56338,107022,13018,226442,239319,74201,12488,228026,16428,68292,24056,207165,12763,244059,226251,267019,20116,237542,29812,27215,21411,20068,27362,241230,269254,234664,19941,320632,269261,333789,12014,20740,237860,18103,19419,233789,20449,16451,109711,26406,13609	Npc2,Inadl,Mcmbp,Tsc22d3,Calcrl,Lef1,Skil,Rapgef4,Epc1,Bcl2,Atp1b3,Ibtk,Rps5,Cast,Rps4x,Senp7,Filip1l,Rpl30,Smurf2,Pydc3,Ppp2r5a,Fbxl12,Peli1,Foxo1,Pde4d,Rpl17,Add3,Scml4,Arl4c,Txnip,Gramd3,Ctcf,Zfp281,Card6,Cep97,Cd2ap,Pdk1,Itk,Stt3b,Sh3bp5,Bptf,Cmah,Chd2,Ablim1,Rps15a,Rps8,Osbpl8,Ndrg3,Azi2,Tcf20,Rps17,Dnajb9,St8sia6,Setx,Nae1,Rpl26,Snrnp200,Rpl12,N4bp2,Bach2,Sptan1,Ssh2,Nme2,Rasgrp1,Smg1,St8sia1,Jak1,Actn1,Map3k3,S1pr1
GO:0044424	intracellular part	7.30184679099941e-06	-11.8273832567368	11829	69	0.793103448275862	87	20893	226251,20116,267019,237542,29812,27215,21411,228026,16428,74201,12488,24056,68292,207165,12763,244059,237860,20740,233789,19419,18103,20449,16451,109711,13609,20068,27362,241230,234664,269254,320632,19941,333789,269261,12014,13831,11933,12043,108837,20103,66315,20102,12380,19946,78749,67963,12695,210711,54598,14605,20482,56508,16842,268297,27360,320982,56338,13018,107022,239319,226442,100033459,66313,67245,30843,226849,319195,56458,238871	Ablim1,Rps8,Rps15a,Osbpl8,Ndrg3,Azi2,Tcf20,Pdk1,Itk,Cep97,Cd2ap,Sh3bp5,Stt3b,Bptf,Cmah,Chd2,Ssh2,Sptan1,Smg1,Rasgrp1,Nme2,St8sia1,Jak1,Actn1,S1pr1,Rps17,Dnajb9,St8sia6,Nae1,Setx,Snrnp200,Rpl26,N4bp2,Rpl12,Bach2,Epc1,Atp1b3,Bcl2,Ibtk,Rps5,Senp7,Rps4x,Cast,Rpl30,Filip1l,Npc2,Inadl,Mcmbp,Calcrl,Tsc22d3,Skil,Rapgef4,Lef1,Scml4,Add3,Arl4c,Txnip,Ctcf,Gramd3,Card6,Zfp281,Pydc3,Smurf2,Peli1,Fbxl12,Ppp2r5a,Rpl17,Foxo1,Pde4d
GO:0022627	cytosolic small ribosomal subunit	1.49213484634609e-05	-11.1127175876841	36	4	0.0459770114942529	87	20893	20068,267019,20103,20116	Rps17,Rps15a,Rps5,Rps8
GO:0044464	cell part	2.51052300016591e-05	-10.5924343669319	14839	78	0.896551724137931	87	20893	26406,13723,13609,109711,20449,16451,17067,328833,20740,237860,19419,18103,233789,333789,269261,20343,12014,269254,234664,320632,19941,241230,20068,27362,27215,21411,237542,29812,267019,20116,226251,12763,244059,68292,24056,16190,207165,12488,74201,16428,228026,13018,107022,226442,192786,239319,56338,27360,268297,320982,56458,238871,11931,319195,30843,226849,67245,66313,100033459,78749,19946,12380,20102,66315,11933,12043,108837,20103,13831,16842,20482,56508,210711,217316,54598,14605,67963,12695	Map3k3,Emb,S1pr1,Actn1,St8sia1,Jak1,Ly6c1,Treml2,Sptan1,Ssh2,Rasgrp1,Nme2,Smg1,N4bp2,Rpl12,Sell,Bach2,Setx,Nae1,Snrnp200,Rpl26,St8sia6,Rps17,Dnajb9,Azi2,Tcf20,Osbpl8,Ndrg3,Rps15a,Rps8,Ablim1,Cmah,Chd2,Stt3b,Sh3bp5,Il4ra,Bptf,Cd2ap,Cep97,Itk,Pdk1,Ctcf,Gramd3,Zfp281,Rapgef6,Card6,Txnip,Add3,Scml4,Arl4c,Foxo1,Pde4d,Atp1b1,Rpl17,Fbxl12,Ppp2r5a,Peli1,Smurf2,Pydc3,Filip1l,Rpl30,Cast,Rps4x,Senp7,Atp1b3,Bcl2,Ibtk,Rps5,Epc1,Lef1,Skil,Rapgef4,Mcmbp,Slc16a5,Calcrl,Tsc22d3,Npc2,Inadl
GO:0022625	cytosolic large ribosomal subunit	2.7818484937333e-05	-10.4898098324296	42	4	0.0459770114942529	87	20893	269261,19946,19941,319195	Rpl12,Rpl30,Rpl26,Rpl17
