TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
M00177	Ribosome, eukaryotes	1.46451562066707e-09	-20.3417412835059	90	9	0.209302325581395	43	7453	20116,20103,19941,267019,269261,319195,20068,19946,20102	Rps8,Rps5,Rpl26,Rps15a,Rpl12,Rpl17,Rps17,Rpl30,Rps4x
mmu_M00177	Ribosome, eukaryotes	1.46451562066707e-09	-20.3417412835059	90	9	0.209302325581395	43	7453	20102,19946,269261,319195,20068,267019,19941,20103,20116	Rps4x,Rpl30,Rpl12,Rpl17,Rps17,Rps15a,Rpl26,Rps5,Rps8
ko03010	Ribosome	4.7200798093742e-08	-16.8688550357321	133	9	0.209302325581395	43	7453	20102,19946,269261,319195,20068,19941,267019,20103,20116	Rps4x,Rpl30,Rpl12,Rpl17,Rps17,Rpl26,Rps15a,Rps5,Rps8
mmu03010	Ribosome	4.7200798093742e-08	-16.8688550357321	133	9	0.209302325581395	43	7453	19946,20102,20103,20116,269261,20068,319195,19941,267019	Rpl30,Rps4x,Rps5,Rps8,Rpl12,Rps17,Rpl17,Rpl26,Rps15a
ko04261	Adrenergic signaling in cardiomyocytes	0.00155838253976228	-6.46410682909008	149	5	0.116279069767442	43	7453	11933,11931,226849,12043,56508	Atp1b3,Atp1b1,Ppp2r5a,Bcl2,Rapgef4
mmu04261	Adrenergic signaling in cardiomyocytes	0.00155838253976228	-6.46410682909008	149	5	0.116279069767442	43	7453	11933,11931,226849,12043,56508	Atp1b3,Atp1b1,Ppp2r5a,Bcl2,Rapgef4
ko04964	Proximal tubule bicarbonate reclamation	0.00698094205576566	-4.96457140630541	22	2	0.0465116279069767	43	7453	11931,11933	Atp1b1,Atp1b3
mmu04964	Proximal tubule bicarbonate reclamation	0.00698094205576566	-4.96457140630541	22	2	0.0465116279069767	43	7453	11933,11931	Atp1b3,Atp1b1
mmu04911	Insulin secretion	0.0131314033123296	-4.33274871805943	86	3	0.0697674418604651	43	7453	11931,11933,56508	Atp1b1,Atp1b3,Rapgef4
ko05215	Prostate cancer	0.0143988536645772	-4.24060668219554	89	3	0.0697674418604651	43	7453	16842,12043,56458	Lef1,Bcl2,Foxo1
mmu05215	Prostate cancer	0.0143988536645772	-4.24060668219554	89	3	0.0697674418604651	43	7453	56458,12043,16842	Foxo1,Bcl2,Lef1
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0.0172110935761904	-4.06220112771004	3	1	0.0232558139534884	43	7453	20449	St8sia1
mmu_M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0.0172110935761904	-4.06220112771004	3	1	0.0232558139534884	43	7453	20449	St8sia1
ko04960	Aldosterone-regulated sodium reabsorption	0.0220784315059268	-3.81315409696574	40	2	0.0465116279069767	43	7453	11931,11933	Atp1b1,Atp1b3
mmu04960	Aldosterone-regulated sodium reabsorption	0.0220784315059268	-3.81315409696574	40	2	0.0465116279069767	43	7453	11931,11933	Atp1b1,Atp1b3
ko04973	Carbohydrate digestion and absorption	0.0275198906590123	-3.59284623907124	45	2	0.0465116279069767	43	7453	11933,11931	Atp1b3,Atp1b1
mmu04973	Carbohydrate digestion and absorption	0.0275198906590123	-3.59284623907124	45	2	0.0465116279069767	43	7453	11933,11931	Atp1b3,Atp1b1
mmu04978	Mineral absorption	0.0286669354287428	-3.55201089601943	46	2	0.0465116279069767	43	7453	11933,11931	Atp1b3,Atp1b1
ko04978	Mineral absorption	0.0286669354287428	-3.55201089601943	46	2	0.0465116279069767	43	7453	11933,11931	Atp1b3,Atp1b1
mmu04919	Thyroid hormone signaling pathway	0.0301692119678864	-3.50093334587764	118	3	0.0697674418604651	43	7453	56458,11933,11931	Foxo1,Atp1b3,Atp1b1
mmu04670	Leukocyte transendothelial migration	0.0314932932053719	-3.45798066993515	120	3	0.0697674418604651	43	7453	109711,56508,16428	Actn1,Rapgef4,Itk
ko04670	Leukocyte transendothelial migration	0.0314932932053719	-3.45798066993515	120	3	0.0697674418604651	43	7453	16428,56508,109711	Itk,Rapgef4,Actn1
mmu_M00072	N-glycosylation by oligosaccharyltransferase	0.0397097884035821	-3.22615756239555	7	1	0.0232558139534884	43	7453	68292	Stt3b
M00072	N-glycosylation by oligosaccharyltransferase	0.0397097884035821	-3.22615756239555	7	1	0.0232558139534884	43	7453	68292	Stt3b
mmu04961	Endocrine and other factor-regulated calcium reabsorption	0.0398161892193845	-3.22348168509177	55	2	0.0465116279069767	43	7453	11933,11931	Atp1b3,Atp1b1
ko04961	Endocrine and other factor-regulated calcium reabsorption	0.0398161892193845	-3.22348168509177	55	2	0.0465116279069767	43	7453	11931,11933	Atp1b1,Atp1b3
mmu05210	Colorectal cancer	0.0523318715731967	-2.95014969441439	64	2	0.0465116279069767	43	7453	12043,16842	Bcl2,Lef1
