TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0003735	structural constituent of ribosome	7.93720125252443e-07	-14.0465349249251	123	7	0.0823529411764706	85	20484	267019,20068,19946,20103,20102,20116,319195	Rps15a,Rps17,Rpl30,Rps5,Rps4x,Rps8,Rpl17
GO:0005515	protein binding	5.14728143301386e-06	-12.1770418597495	7133	50	0.588235294117647	85	20484	56338,20343,20740,67963,226251,320632,13609,18103,269261,67245,26406,238871,100033459,12014,333789,12043,16428,56508,12488,20482,21411,16010,11933,269254,108837,56458,207165,192786,14605,24056,13018,226442,237860,16451,12695,16842,320982,66313,244059,27215,27362,226849,228026,109711,11931,27360,12380,237542,16190,234664	Txnip,Sell,Sptan1,Npc2,Ablim1,Snrnp200,S1pr1,Nme2,Rpl12,Peli1,Map3k3,Pde4d,Pydc3,Bach2,N4bp2,Bcl2,Itk,Rapgef4,Cd2ap,Skil,Tcf20,Igfbp4,Atp1b3,Setx,Ibtk,Foxo1,Bptf,Rapgef6,Tsc22d3,Sh3bp5,Ctcf,Zfp281,Ssh2,Jak1,Inadl,Lef1,Arl4c,Smurf2,Chd2,Azi2,Dnajb9,Ppp2r5a,Pdk1,Actn1,Atp1b1,Add3,Cast,Osbpl8,Il4ra,Nae1
GO:0044822	poly(A) RNA binding	0.000172366412619906	-8.66588804110536	1106	14	0.164705882352941	85	20484	267019,12380,20103,19946,320632,269261,233789,21411,20068,244059,19941,319195,20116,100033459	Rps15a,Cast,Rps5,Rpl30,Snrnp200,Rpl12,Smg1,Tcf20,Rps17,Chd2,Rpl26,Rpl17,Rps8,Pydc3
GO:0005488	binding	0.000293134924355614	-8.13487756226015	11627	64	0.752941176470588	85	20484	19946,20103,56508,18103,13609,21822,20343,319195,234664,16190,27360,237542,228026,226849,244059,27215,12695,19941,226442,14605,267019,108837,269254,11933,233789,20116,16428,12043,20068,12014,333789,100033459,238871,26406,67245,269261,320632,226251,67963,20740,56338,20102,12380,11931,109711,12763,27362,19419,66313,320982,16842,16451,237860,13018,24056,192786,207165,56458,268297,210711,16010,21411,20482,12488	Rpl30,Rps5,Rapgef4,Nme2,S1pr1,Tgtp1,Sell,Rpl17,Nae1,Il4ra,Add3,Osbpl8,Pdk1,Ppp2r5a,Chd2,Azi2,Inadl,Rpl26,Zfp281,Tsc22d3,Rps15a,Ibtk,Setx,Atp1b3,Smg1,Rps8,Itk,Bcl2,Rps17,Bach2,N4bp2,Pydc3,Pde4d,Map3k3,Peli1,Rpl12,Snrnp200,Ablim1,Npc2,Sptan1,Txnip,Rps4x,Cast,Atp1b1,Actn1,Cmah,Dnajb9,Rasgrp1,Smurf2,Arl4c,Lef1,Jak1,Ssh2,Ctcf,Sh3bp5,Rapgef6,Bptf,Foxo1,Scml4,Mcmbp,Igfbp4,Tcf20,Skil,Cd2ap
GO:0003723	RNA binding	0.000301093723165829	-8.10808896903785	1463	16	0.188235294117647	85	20484	319195,20116,233789,21411,269261,320632,267019,100033459,19941,20068,244059,109711,19946,20103,20102,12380	Rpl17,Rps8,Smg1,Tcf20,Rpl12,Snrnp200,Rps15a,Pydc3,Rpl26,Rps17,Chd2,Actn1,Rpl30,Rps5,Rps4x,Cast
GO:0097159	organic cyclic compound binding	0.000364863583130114	-7.9159870190908	5140	36	0.423529411764706	85	20484	56458,207165,13018,267019,237860,226442,20116,21411,233789,269254,268297,109711,228026,237542,12380,20102,19941,320982,16451,16842,244059,320632,18103,269261,26406,319195,21822,67963,16428,56508,19946,20103,100033459,20068,12014,333789	Foxo1,Bptf,Ctcf,Rps15a,Ssh2,Zfp281,Rps8,Tcf20,Smg1,Setx,Scml4,Actn1,Pdk1,Osbpl8,Cast,Rps4x,Rpl26,Arl4c,Jak1,Lef1,Chd2,Snrnp200,Nme2,Rpl12,Map3k3,Rpl17,Tgtp1,Npc2,Itk,Rapgef4,Rpl30,Rps5,Pydc3,Rps17,Bach2,N4bp2
GO:0005198	structural molecule activity	0.000421009902151643	-7.77285420400828	431	8	0.0941176470588235	85	20484	319195,20116,20068,27360,267019,19946,20103,20102	Rpl17,Rps8,Rps17,Add3,Rps15a,Rpl30,Rps5,Rps4x
GO:0005391	sodium:potassium-exchanging ATPase activity	0.000468817794273314	-7.66529636335417	8	2	0.0235294117647059	85	20484	11933,11931	Atp1b3,Atp1b1
GO:0019899	enzyme binding	0.000549097243689997	-7.50723500337881	1390	15	0.176470588235294	85	20484	56338,20343,16451,67963,12043,226849,56458,108837,192786,18103,12380,27360,56508,238871,234664	Txnip,Sell,Jak1,Npc2,Bcl2,Ppp2r5a,Foxo1,Ibtk,Rapgef6,Nme2,Cast,Add3,Rapgef4,Pde4d,Nae1
GO:0008556	potassium-transporting ATPase activity	0.000913464440540959	-6.99826610951476	11	2	0.0235294117647059	85	20484	11933,11931	Atp1b3,Atp1b1
GO:1901363	heterocyclic compound binding	0.00137049283000826	-6.59258487389637	5073	34	0.4	85	20484	20102,12380,109711,228026,244059,16451,16842,320982,19941,226442,237860,267019,13018,207165,56458,268297,269254,21411,233789,20116,20103,19946,56508,16428,20068,12014,333789,100033459,26406,269261,18103,320632,21822,319195	Rps4x,Cast,Actn1,Pdk1,Chd2,Jak1,Lef1,Arl4c,Rpl26,Zfp281,Ssh2,Rps15a,Ctcf,Bptf,Foxo1,Scml4,Setx,Tcf20,Smg1,Rps8,Rps5,Rpl30,Rapgef4,Itk,Rps17,Bach2,N4bp2,Pydc3,Map3k3,Rpl12,Nme2,Snrnp200,Tgtp1,Rpl17
GO:0003676	nucleic acid binding	0.0025776762076809	-5.96086698061513	3239	24	0.282352941176471	85	20484	269261,207165,56458,320632,237860,226442,13018,267019,319195,20116,268297,21411,233789,109711,19946,20103,20102,12380,100033459,16842,19941,12014,244059,20068	Rpl12,Bptf,Foxo1,Snrnp200,Ssh2,Zfp281,Ctcf,Rps15a,Rpl17,Rps8,Scml4,Tcf20,Smg1,Actn1,Rpl30,Rps5,Rps4x,Cast,Pydc3,Lef1,Rpl26,Bach2,Chd2,Rps17
GO:0008373	sialyltransferase activity	0.00307999915871964	-5.78282595513967	20	2	0.0235294117647059	85	20484	20449,241230	St8sia1,St8sia6
GO:0043035	chromatin insulator sequence binding	0.00414958016019829	-5.48474811607446	1	1	0.0117647058823529	85	20484	13018	Ctcf
GO:0010859	calcium-dependent cysteine-type endopeptidase inhibitor activity	0.00414958016019829	-5.48474811607446	1	1	0.0117647058823529	85	20484	12380	Cast
GO:0030338	CMP-N-acetylneuraminate monooxygenase activity	0.00414958016019829	-5.48474811607446	1	1	0.0117647058823529	85	20484	12763	Cmah
GO:0031625	ubiquitin protein ligase binding	0.00464427140370172	-5.37212077505791	162	4	0.0470588235294118	85	20484	12043,234664,56338,56458	Bcl2,Nae1,Txnip,Foxo1
GO:0044389	small conjugating protein ligase binding	0.00464427140370172	-5.37212077505791	162	4	0.0470588235294118	85	20484	56338,56458,12043,234664	Txnip,Foxo1,Bcl2,Nae1
GO:0001227	RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	0.00568763096185849	-5.16946146870934	87	3	0.0352941176470588	85	20484	56458,13018,12014	Foxo1,Ctcf,Bach2
GO:0015485	cholesterol binding	0.00599724147006177	-5.11645567046352	28	2	0.0235294117647059	85	20484	237542,67963	Osbpl8,Npc2
GO:0002020	protease binding	0.00684046184313381	-4.98490002870112	93	3	0.0352941176470588	85	20484	20343,12043,12380	Sell,Bcl2,Cast
GO:0051721	protein phosphatase 2A binding	0.00686464835029119	-4.98137046462972	30	2	0.0235294117647059	85	20484	12043,56458	Bcl2,Foxo1
GO:0032934	sterol binding	0.00731841758021231	-4.91736115194528	31	2	0.0235294117647059	85	20484	237542,67963	Osbpl8,Npc2
GO:0001635	calcitonin gene-related polypeptide receptor activity	0.00828214305066399	-4.79365352152979	2	1	0.0117647058823529	85	20484	54598	Calcrl
GO:0019781	NEDD8 activating enzyme activity	0.00828214305066399	-4.79365352152979	2	1	0.0117647058823529	85	20484	234664	Nae1
GO:0001605	adrenomedullin receptor activity	0.00828214305066399	-4.79365352152979	2	1	0.0117647058823529	85	20484	54598	Calcrl
GO:0004857	enzyme inhibitor activity	0.00893214085545554	-4.71809917537313	306	5	0.0588235294117647	85	20484	16842,108837,56338,24056,12380	Lef1,Ibtk,Txnip,Sh3bp5,Cast
GO:0015662	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	0.00926457741620139	-4.68155703105659	35	2	0.0235294117647059	85	20484	11931,11933	Atp1b1,Atp1b3
GO:0019903	protein phosphatase binding	0.0119128381503347	-4.43013862422759	114	3	0.0352941176470588	85	20484	16451,56458,12043	Jak1,Foxo1,Bcl2
GO:0051733	polydeoxyribonucleotide kinase activity	0.0123977576313289	-4.39023965890713	3	1	0.0117647058823529	85	20484	333789	N4bp2
GO:0046404	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity	0.0123977576313289	-4.39023965890713	3	1	0.0117647058823529	85	20484	333789	N4bp2
GO:0016716	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen	0.0123977576313289	-4.39023965890713	3	1	0.0117647058823529	85	20484	12763	Cmah
GO:0004948	calcitonin receptor activity	0.0123977576313289	-4.39023965890713	3	1	0.0117647058823529	85	20484	54598	Calcrl
GO:0019205	nucleobase-containing compound kinase activity	0.0125646402415969	-4.37686874018343	41	2	0.0235294117647059	85	20484	333789,18103	N4bp2,Nme2
GO:0019887	protein kinase regulator activity	0.0139753961128951	-4.27045691594946	121	3	0.0352941176470588	85	20484	108837,56508,24056	Ibtk,Rapgef4,Sh3bp5
GO:0004715	non-membrane spanning protein tyrosine kinase activity	0.0143795752095953	-4.2419464674875	44	2	0.0235294117647059	85	20484	16451,16428	Jak1,Itk
GO:0017111	nucleoside-triphosphatase activity	0.0151213849912389	-4.19164531247611	625	7	0.0823529411764706	85	20484	244059,11933,21822,269254,320632,207165,11931	Chd2,Atp1b3,Tgtp1,Setx,Snrnp200,Bptf,Atp1b1
GO:0004860	protein kinase inhibitor activity	0.0156486272656077	-4.15737208050079	46	2	0.0235294117647059	85	20484	108837,24056	Ibtk,Sh3bp5
GO:0008301	DNA binding, bending	0.0163005639245857	-4.11655557516752	47	2	0.0235294117647059	85	20484	16842,56458	Lef1,Foxo1
