TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
5893886	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	1.18895562584068e-08	-18.2476054475115	105	9	0.209302325581395	43	6863	267019,20116,19946,20102,20103,19941,20068,233789,269261	Rps15a,Rps8,Rpl30,Rps4x,Rps5,Rpl26,Rps17,Smg1,Rpl12
5893885	Nonsense-Mediated Decay (NMD)	1.18895562584068e-08	-18.2476054475115	105	9	0.209302325581395	43	6863	233789,269261,20103,19941,20102,20068,19946,20116,267019	Smg1,Rpl12,Rps5,Rpl26,Rps4x,Rps17,Rpl30,Rps8,Rps15a
5893205	Peptide chain elongation	3.3418133664946e-08	-17.2141671601935	83	8	0.186046511627907	43	6863	20116,267019,19946,20102,20103,19941,20068,269261	Rps8,Rps15a,Rpl30,Rps4x,Rps5,Rpl26,Rps17,Rpl12
5893195	Eukaryotic Translation Termination	3.3418133664946e-08	-17.2141671601935	83	8	0.186046511627907	43	6863	19941,20103,20102,20068,20116,267019,19946,269261	Rpl26,Rps5,Rps4x,Rps17,Rps8,Rps15a,Rpl30,Rpl12
5893206	Eukaryotic Translation Elongation	4.43425564091487e-08	-16.9313209797258	86	8	0.186046511627907	43	6863	269261,20103,19941,20102,20068,20116,19946,267019	Rpl12,Rps5,Rpl26,Rps4x,Rps17,Rps8,Rpl30,Rps15a
5893884	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	5.32270102634341e-08	-16.7486998577221	88	8	0.186046511627907	43	6863	20116,267019,19946,20102,20103,19941,20068,269261	Rps8,Rps15a,Rpl30,Rps4x,Rps5,Rpl26,Rps17,Rpl12
5892860	Formation of a pool of free 40S subunits	8.96823852233498e-08	-16.2269914614873	94	8	0.186046511627907	43	6863	269261,20116,19946,267019,19941,20103,20102,20068	Rpl12,Rps8,Rpl30,Rps15a,Rpl26,Rps5,Rps4x,Rps17
5893203	L13a-mediated translational silencing of Ceruloplasmin expression	1.98231969989232e-07	-15.4338279263971	104	8	0.186046511627907	43	6863	19946,20116,267019,19941,20103,20102,20068,269261	Rpl30,Rps8,Rps15a,Rpl26,Rps5,Rps4x,Rps17,Rpl12
5892851	GTP hydrolysis and joining of the 60S ribosomal subunit	2.13600416480458e-07	-15.3591587800474	105	8	0.186046511627907	43	6863	269261,19941,20103,20102,20068,19946,20116,267019	Rpl12,Rpl26,Rps5,Rps4x,Rps17,Rpl30,Rps8,Rps15a
5894018	SRP-dependent cotranslational protein targeting to membrane	2.66002612481709e-07	-15.1397597068531	108	8	0.186046511627907	43	6863	269261,20102,19941,20103,20068,20116,19946,267019	Rpl12,Rps4x,Rpl26,Rps5,Rps17,Rps8,Rpl30,Rps15a
