NAME	DESCRIPTION	NonTFH_Rep1	NonTFH_Rep2	TFH_Rep1	TFH_Rep2	GCTFH_Rep1	GCTFH_Rep2	Naive_CD4_T
0610005C13Rik	na	2.92469056417862	2.92627203477491	2.91200204198151	2.87085377561068	2.73948657108923	2.6545696276666	2.65228352314111
0610006L08Rik	na	3.823470658783	4.14352750570651	3.823470658783	3.68178794617172	3.823470658783	3.823470658783	4.00093059644988
0610007P14Rik	na	8.66921760869362	8.90693890730426	8.6243206390483	8.63647593612655	8.58490155597546	8.58490155597546	7.50481562491485
0610009B22Rik	na	7.40283586718721	7.20427426529997	7.60375545078131	7.25630581077016	7.72501464699182	7.54008510684008	5.99584914940731
0610009L18Rik	na	6.76819043817664	6.14037106917296	6.29780164205567	6.53931021856783	6.71862592144097	6.80372622167142	6.53931021856783
0610009O20Rik	na	7.30177014819501	8.01618246623158	7.89798632324171	7.76267886407831	7.89798632324171	8.09931992125175	7.92565294968081
0610010B08Rik	na	8.39986267126039	8.62639308423575	8.27197915758491	8.38167450829571	8.26500863090218	8.21960030133329	9.33023740720378
0610010F05Rik	na	6.50236354780614	6.5221844982219	6.7058059231333	7.19107104875986	6.86111846356836	6.7058059231333	6.27402968536722
0610010K14Rik	na	8.6424581830929	8.77644682664322	8.52171982606829	8.34538173068954	8.33265224556077	8.66256161105175	8.40282121488015
0610011F06Rik	na	9.52077773750847	9.51912277951585	9.65660800069966	9.55212811445574	9.81690594879504	9.80124824721986	9.51280052493042
0610012G03Rik	na	9.6839063730293	9.42188862047785	9.50266646363346	9.43641900851313	9.25121622856882	9.38319047205004	9.00150917301611
0610025J13Rik	na	4.70335461072276	5.13278202426885	5.14930518015639	4.85923535119086	5.12759135865272	5.12759135865272	5.52227500507104
0610030E20Rik	na	9.79843200190205	9.68166834190614	9.5048793804459	9.49095215530494	9.39797851723872	9.49443468524345	9.9519451441967
0610031J06Rik	na	8.0019497396652	7.81030209618283	7.77775613254867	7.6217514158543	7.50192196546107	7.67415482077668	6.63695183519002
0610033M10Rik	na	2.98570003013133	2.96923123146383	3.12813400928418	2.98570003013133	2.98570003013133	2.98570003013133	2.83923936474798
0610037L13Rik	na	8.39459307890272	8.52728850039516	8.61613547757264	8.71025785246495	8.45359848184545	8.62123519129625	8.68087283319305
0610038B21Rik	na	5.55976620619478	5.40105827213811	5.22019459780006	5.62965349103551	5.48882948017458	5.43445137226869	5.86868173396057
0610039K10Rik	na	3.07879099124806	2.78437145746304	3.07879099124806	3.19880227855511	2.96655680070158	2.90953254555679	3.58341327827503
0610040A22Rik	na	2.75951464575468	3.02059235390836	2.72193192994682	2.72193192994682	2.65655650211672	2.66943710067085	2.73731500082597
0610040B10Rik	na	4.82218479457058	5.14324019521368	4.97776915799836	4.31061380368342	5.178352822944	5.04883956640149	4.84457319042555
0610040F04Rik	na	1.79033816444263	1.83939964955916	1.83939964955916	1.95402753630039	1.83939964955916	1.83939964955916	1.83939964955916
0610040J01Rik	na	3.27203220870276	3.27203220870276	3.47158875135847	3.27203220870276	3.27203220870276	3.027407337948	3.55946907109863
0610042E11Rik	na	4.8321227634875	4.39983925112583	2.48382098230356	2.34561534381417	2.65655650211672	2.52774217993485	4.31054167750757
0710001A04Rik	na	4.28500098541446	4.4016104244977	4.38958474102987	4.38958474102987	4.49663397766984	4.17863198336389	4.72957632192439
0710001D07Rik	na	6.18901373725583	5.83507906516986	6.18901373725583	6.3298809596177	6.32958901827835	6.14666615645154	6.62120552760394
0710007G10Rik	na	6.88776746278972	6.73924090513895	6.87679334989498	7.10510466817999	6.63104150522504	5.83517249177932	7.40025896116238
1010001B22Rik	na	3.48972102469387	3.19572715867697	3.3978421618032	3.07707752605363	2.96655680070158	3.38406423750057	3.84818170216953
1010001I08Rik	na	2.26694787392278	2.81929822976113	2.53162369426961	2.5760424749121	2.53162369426961	2.53162369426961	2.65655650211672
1110001J03Rik	na	7.27206772142188	7.17950094022569	7.3725947111746	7.14140235670379	7.10670317431684	7.28209233111825	6.8713701051427
1110002E22Rik	na	2.65239979636822	2.94007433185975	2.74495308046667	3.06388458174756	2.91986565696683	3.32020576387052	2.94007433185975
1110002L01Rik	na	6.89432042256212	6.40232208271851	6.73653093285259	6.37265773913947	6.91405558366375	6.83670904504683	7.22308937385661
1110003F02Rik	na	2.49395283637144	3.53223254737515	3.39743041081929	3.46704599505651	3.39743041081929	3.39743041081929	3.67853371002515
1110004E09Rik	na	9.52610915249363	9.46869152089638	9.54516110739197	9.39541396106367	9.23528644880101	9.29570427313049	8.95863331889861
1110004F10Rik	na	9.82193659216772	9.84561897899443	9.77392620043661	9.69703473923776	9.88039536050525	9.75195068937308	9.53374042899297
1110004M10Rik	na	6.60354769476161	5.81947696524063	5.66916261611615	5.99584914940731	5.79744373551215	5.86758237722705	7.81109680524911
1110006E14Rik	na	2.10827038149411	1.90145293491073	2.07446243284017	2.07446243284017	2.07446243284017	2.05854195230774	2.134433544503
1110006O24Rik	na	4.81990838983033	4.78232567402247	4.78232567402247	4.78232567402247	4.99482113602327	4.59145129038193	4.81066331605067
1110007C09Rik	na	7.33056980747685	7.50657167369118	6.95371902702097	6.95371902702097	6.42842867403333	6.82226635145527	6.33708944309394
1110008E08Rik	na	3.25611172817033	3.1446860226273	3.25611172817033	3.24843193602354	3.43159676909518	3.25611172817033	3.59068458375471
1110008F13Rik	na	9.40990999750744	9.40990999750744	9.464121865462	9.40990999750744	9.42441339610142	9.49698743340319	8.89995245068387
1110008L16Rik	na	6.92604324431556	7.2991988246357	7.51827866083733	7.51815687693888	8.05970205893863	7.74011213580507	6.82511850134584
1110008P14Rik	na	8.46255261574716	8.27535439144352	8.08259568792943	8.16971952379383	8.02894245115662	8.07994664449071	6.92008788938972
1110012L19Rik	na	8.84016882645992	8.96678803369862	8.6772696467573	8.99286308709104	8.83159461307869	8.70301866890307	7.9414357580673
1110014L15Rik	na	2.50239970570244	2.62630244979676	2.65779769860613	2.38402828813587	2.56018367289627	2.53162369426961	2.53162369426961
1110015O18Rik	na	1.83557653598868	1.70803244503771	1.8202666355842	1.69194861853996	1.8202666355842	1.81148537263535	1.98832668086368
1110017D15Rik	na	2.88897258809904	2.87244943221149	2.86592767392086	2.88540776410031	2.86592767392086	2.86592767392086	2.86592767392086
1110018F16Rik	na	4.05188238748378	4.01184899600667	3.91387709808387	4.05188238748378	4.31913872698288	4.00408967578113	4.66565268593978
1110018N20Rik	na	3.56604489736933	3.56604489736933	3.56604489736933	3.63413809881826	3.4814059770646	3.71169158048668	3.5628756206297
1110019B22Rik	na	2.54349484672665	2.65812273346788	2.9030151777393	2.66966885106317	2.88543633092916	2.78190304160965	2.78190304160965
1110019D14Rik	na	5.76089982004528	6.61777334706756	6.03063525648904	6.19183584039842	6.48153999101909	6.90790511192238	4.88226415078344
1110020A21Rik	na	4.87713353732993	4.36097457232444	4.63904706958822	4.570047505636	4.65868505960643	4.92540875389529	5.99485766196398
1110020C17Rik	na	3.27203220870276	3.11312943088241	2.82344577232504	3.12959822954991	3.02162710022673	3.06880379303825	3.11312943088241
1110025L11Rik	na	1.71297001589365	1.77955934691193	2.07446243284017	1.85688874746552	1.88719341701127	1.82766475889835	1.81246805387265
1110028F11Rik	na	2.91309237976908	3.23629692300389	3.05591108685085	2.75419412450628	3.3632835724406	2.9307499987571	7.02743922883665
1110028F18Rik	na	2.99444923757512	3.52045378173305	3.30185979711954	3.22710113765708	3.38194360612124	3.30185979711954	3.30185979711954
1110032A03Rik	na	6.31330706890452	5.45033425032763	7.1464237740199	6.9735340175727	7.52547929682427	7.27620305696325	6.58434597995863
1110032F04Rik	na	4.60467791320559	5.05625445802677	4.43555467422767	4.34738912154886	4.57387794692289	4.57387794692289	5.14686716391862
1110034G24Rik	na	6.26626010949037	6.49726837812082	7.28117631458114	7.4480483333328	6.90638196742948	6.98349691034652	5.7231525523843
1110035E04Rik	na	5.60480602974205	5.7908114120844	5.04861800555296	4.97867216202766	5.87828217920973	5.58222370851174	5.67687414123131
1110035H17Rik	na	3.12646668586385	3.91604509897177	3.91604509897177	3.79852748866897	3.91604509897177	4.16885175327335	4.31913872698288
1110037F02Rik	na	10.2495134185265	10.2245044628117	10.2469041755805	10.0440217368908	10.164351302084	10.104170559298	9.65075144032325
1110038B12Rik	na	8.98511798677922	8.75019638193929	9.4676424173624	9.29419827837785	9.70089192824648	9.67463144851201	8.85205505462353
1110038F14Rik	na	10.0275313271151	10.2331875812749	10.038610631422	9.81211553906798	10.0280368619682	9.94044908265119	9.94768136896085
1110046J04Rik	na	2.91763896583613	3.57489502764445	3.41024295797511	3.51682677174884	3.25127000434455	3.41024295797511	3.43045163286803
1110050P16Rik	na	3.93343080562053	4.05843558669461	4.11326261030507	3.85324390821778	4.11326261030507	4.57049857340227	4.41900602357916
1110051M20Rik	na	5.97731524704458	5.46778817272936	6.50806399189394	6.82693501081232	6.65665548199445	6.32262148495509	4.97371927503193
1110054M08Rik	na	7.41407335466171	7.66018231264487	7.02666237263236	6.58434597995863	6.32118823835038	6.38705103226044	6.15509981997445
1110057K04Rik	na	8.56733553290542	8.48731172813147	8.62330020169874	8.78776867682483	8.62909976763213	8.38138721938031	8.21857079998667
1110058L19Rik	na	8.18608147355416	8.00241168166191	8.41170179865918	8.17828275322741	8.28081754412428	8.45575905245829	7.59113791893492
1110059E24Rik	na	6.90226994705992	6.74053482066148	7.00851054188479	6.94538177803829	6.90226994705992	6.90226994705992	6.57855800091522
1110059G02Rik	na	9.04251038147302	9.03201970737205	8.94644434937779	9.00890637668146	8.86665119271917	8.66010435880248	8.21667517075499
1110059G10Rik	na	8.59123534933765	8.08042051926262	8.38926915224135	8.34642447525822	8.34642447525822	8.39401542305261	7.73227610423313
1110064A23Rik	na	4.24514134625345	4.36141953687676	4.28879535306227	4.52454681239812	4.30412394188116	3.80424409866162	4.56388792585646
