TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr5 E2|5	mouse chr5 E2|5	0.00231951187803348	-6.06639851283992	16	2	0.0185185185185185	108	23952	13178,68098	Dck,Rchy1
mouse chr4 D1|4 53.08 cM	mouse chr4 D1|4 53.08 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	14073	Faah
mouse chr14 C2|14 27.7 cM	mouse chr14 C2|14 27.7 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	13135	Dad1
mouse chr2 C3|2 47.38 cM	mouse chr2 C3|2 47.38 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	16401	Itga4
mouse chr18 E4|18 53.66 cM	mouse chr18 E4|18 53.66 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	18018	Nfatc1
mouse chr3|3 E-F	mouse chr3|3 E-F	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	20195	S100a11
mouse chr2 F1|2 62.79 cM	mouse chr2 F1|2 62.79 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	20515	Slc20a1
mouse chr7 F3-F4|7 69.35 cM	mouse chr7 F3-F4|7 69.35 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	20737	Spn
mouse chr2 A2|2 10.04 cM	mouse chr2 A2|2 10.04 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	22352	Vim
mouse chr18 C/D|18 18.76 cM	mouse chr18 C/D|18 18.76 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	13653	Egr1
mouse chr11 E1|11 70.8 cM	mouse chr11 E1|11 70.8 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	18750	Prkca
mouse chr8 B1.1|8 26.22 cM	mouse chr8 B1.1|8 26.22 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	11739	Slc25a4
mouse chr1 B|1 16.58 cM	mouse chr1 B|1 16.58 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	16764	Aff3
mouse chr14 A3|14 11.17 cM	mouse chr14 A3|14 11.17 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	14702	Gng2
mouse chr16 A1|16 29.53 cM	mouse chr16 A1|16 29.53 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	17470	Cd200
mouse chr6 B1|6 14.87 cM	mouse chr6 B1|6 14.87 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	11677	Akr1b3
mouse chr11 D|11 62.91 cM	mouse chr11 D|11 62.91 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	21973	Top2a
mouse chr16 B1|16 15.26 cM	mouse chr16 B1|16 15.26 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	12053	Bcl6
mouse chr7 F5|7 88.09 cM	mouse chr7 F5|7 88.09 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	27027	Tspan32
mouse chr11 E1|11 71.83 cM	mouse chr11 E1|11 71.83 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	12006	Axin2
mouse chr8 E1|8 62.61 cM	mouse chr8 E1|8 62.61 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	17132	Maf
mouse chr8 C3|8 43.06 cM	mouse chr8 C3|8 43.06 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	11513	Adcy7
mouse chr11 A1|11 2.24 cM	mouse chr11 A1|11 2.24 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	74203	Eif4enif1
mouse chr5 B1|5 16.76 cM	mouse chr5 B1|5 16.76 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	12615	Cenpa
mouse chr10 B1|10 20.51 cM	mouse chr10 B1|10 20.51 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	14360	Fyn
mouse chr4 A5|4 22.95 cM	mouse chr4 A5|4 22.95 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	269523	Vcp
mouse chr10 B1-B2|10	mouse chr10 B1-B2|10	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	171580	Mical1
mouse chr2 D|2 49.33 cM	mouse chr2 D|2 49.33 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	16410	Itgav
mouse chr1 C1-C3|1 30.52 cM	mouse chr1 C1-C3|1 30.52 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	12487	Cd28
mouse chr16 C3-4|16 51.5 cM	mouse chr16 C3-4|16 51.5 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	21844	Tiam1
mouse chr6 C3|6 53.62 cM	mouse chr6 C3|6 53.62 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	110157	Raf1
mouse chr19 C1|19 24.17 cM	mouse chr19 C1|19 24.17 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	226090	Ermp1
mouse chr2 H2|2 80.97 cM	mouse chr2 H2|2 80.97 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	18803	Plcg1
mouse chr3 G1-G2|3	mouse chr3 G1-G2|3	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	108058	Camk2d
mouse chr11 E2|11 82.61 cM	mouse chr11 E2|11 82.61 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	53860	Sept9
mouse chr13 A5|13 21.66 cM	mouse chr13 A5|13 21.66 cM	0.00450901803610098	-5.4016758795288	1	1	0.00925925925925926	108	23952	16468	Jarid2
mouse chr2|2 A2-A3	mouse chr2|2 A2-A3	0.0089978922393637	-4.71076492470025	2	1	0.00925925925925926	108	23952	14007	Celf2
mouse chr7|7 F3-F5	mouse chr7|7 F3-F5	0.0089978922393637	-4.71076492470025	2	1	0.00925925925925926	108	23952	17345	Mki67
mouse chr2 F1|2 63.29 cM	mouse chr2 F1|2 63.29 cM	0.0089978922393637	-4.71076492470025	2	1	0.00925925925925926	108	23952	12531	Cdc25b
mouse chr11 A3.2|11 14.22 cM	mouse chr11 A3.2|11 14.22 cM	0.0089978922393637	-4.71076492470025	2	1	0.00925925925925926	108	23952	53625	B3gnt2
mouse chr4 C1|4 34.06 cM	mouse chr4 C1|4 34.06 cM	0.0089978922393637	-4.71076492470025	2	1	0.00925925925925926	108	23952	21949	Tnfsf8
mouse chr9|9 E3.2	mouse chr9|9 E3.2	0.013466711764739	-4.30753443382199	3	1	0.00925925925925926	108	23952	23959	Nt5e
mouse chr19 C3|19 37.98 cM	mouse chr19 C3|19 37.98 cM	0.013466711764739	-4.30753443382199	3	1	0.00925925925925926	108	23952	20250	Scd2
mouse chr17|17 E1.2	mouse chr17|17 E1.2	0.013466711764739	-4.30753443382199	3	1	0.00925925925925926	108	23952	17158	Man2a1
mouse chr2 A1|2	mouse chr2 A1|2	0.0175789053720873	-4.04105565418773	45	2	0.0185185185185185	108	23952	227525,20163	Dclre1c,Rsu1
mouse chr11|11 A5	mouse chr11|11 A5	0.0179155653759202	-4.02208536992218	4	1	0.00925925925925926	108	23952	94176	Dock2
mouse chr15|15 D3	mouse chr15|15 D3	0.0179155653759202	-4.02208536992218	4	1	0.00925925925925926	108	23952	13196	Asap1
mouse chr6|6 G1	mouse chr6|6 G1	0.0223445414462837	-3.80117321834304	5	1	0.00925925925925926	108	23952	11569	Aebp2
mouse chr13 A1|13 5.29 cM	mouse chr13 A1|13 5.29 cM	0.0223445414462837	-3.80117321834304	5	1	0.00925925925925926	108	23952	70430	Tbce
mouse chr7|7 D2	mouse chr7|7 D2	0.0267537279629937	-3.62108145224769	6	1	0.00925925925925926	108	23952	54608	Abhd2
mouse chr10 C3|10	mouse chr10 C3|10	0.0267537279629937	-3.62108145224769	6	1	0.00925925925925926	108	23952	216238	Eea1
mouse chr9|9 F2	mouse chr9|9 F2	0.0267537279629937	-3.62108145224769	6	1	0.00925925925925926	108	23952	72654	Ccdc12
mouse chr17 A2|17 8.95 cM	mouse chr17 A2|17 8.95 cM	0.0355130823571259	-3.33785413328438	8	1	0.00925925925925926	108	23952	12648	Chd1
mouse chr15|15 F2	mouse chr15|15 F2	0.0398634242851124	-3.22229606008222	9	1	0.00925925925925926	108	23952	78541	Asb8
mouse chr9 A1|9 2.46 cM	mouse chr9 A1|9 2.46 cM	0.0398634242851124	-3.22229606008222	9	1	0.00925925925925926	108	23952	12363	Casp4
mouse chr8|8 D2	mouse chr8|8 D2	0.0441943247638244	-3.11915889715084	10	1	0.00925925925925926	108	23952	66427	Cyb5b
mouse chr14 E2.3|14	mouse chr14 E2.3|14	0.0485058698699699	-3.02607046011523	11	1	0.00925925925925926	108	23952	210789	Tbc1d4
mouse chr1 A5|1	mouse chr1 A5|1	0.0485058698699699	-3.02607046011523	11	1	0.00925925925925926	108	23952	98366	Smap1
mouse chr5|5 D	mouse chr5|5 D	0.0485058698699699	-3.02607046011523	11	1	0.00925925925925926	108	23952	67878	Tmem33
mouse chr10 A2|10	mouse chr10 A2|10	0.0570712363728026	-2.86345503052235	13	1	0.00925925925925926	108	23952	15273	Hivep2
mouse chr9 A5.2|9 24.84 cM	mouse chr9 A5.2|9 24.84 cM	0.0570712363728026	-2.86345503052235	13	1	0.00925925925925926	108	23952	12145	Cxcr5
mouse chr1 H3|1 79.54 cM	mouse chr1 H3|1 79.54 cM	0.0613252280378526	-2.7915639703308	14	1	0.00925925925925926	108	23952	30925	Slamf6
mouse chr5|5 F	mouse chr5|5 F	0.0613252280378526	-2.7915639703308	14	1	0.00925925925925926	108	23952	19247	Ptpn11
mouse chr10	mouse chr10	0.0635397698670359	-2.75608927200701	944	8	0.0740740740740741	108	23952	319638,171580,17904,216238,14360,15273,432508,237256	Nt5dc1,Mical1,Myl6,Eea1,Fyn,Hivep2,Cpsf6,Zc3h12d
mouse chr14 E5|14	mouse chr14 E5|14	0.0697762510670362	-2.66246156970206	16	1	0.00925925925925926	108	23952	321019	Gpr183
mouse chr2	mouse chr2	0.0728901955395907	-2.61880114092471	1669	12	0.111111111111111	108	23952	12531,20515,26360,14225,16410,16401,227525,22352,20163,18803,228960,18718	Cdc25b,Slc20a1,Angptl2,Fkbp1a,Itgav,Itga4,Dclre1c,Vim,Rsu1,Plcg1,Stx16,Pip4k2a
mouse chr6 F2|6 59.17 cM	mouse chr6 F2|6 59.17 cM	0.0781518865436415	-2.54910108237222	18	1	0.00925925925925926	108	23952	12504	Cd4
mouse chr9 A2|9	mouse chr9 A2|9	0.0823116423797351	-2.49724271860979	19	1	0.00925925925925926	108	23952	170748	Smco4
mouse chrX F4|X	mouse chrX F4|X	0.0864528007218572	-2.44815667036365	20	1	0.00925925925925926	108	23952	58194	Sh3kbp1
mouse chr11 B1.1|11	mouse chr11 B1.1|11	0.0864528007218572	-2.44815667036365	20	1	0.00925925925925926	108	23952	74315	Rnf145
mouse chr1 H5|1	mouse chr1 H5|1	0.0905754439430823	-2.40157214082651	21	1	0.00925925925925926	108	23952	12334	Capn2
mouse chr4 C3|4	mouse chr4 C3|4	0.0905754439430823	-2.40157214082651	21	1	0.00925925925925926	108	23952	69863	Ttc39b
mouse chrX F5|X	mouse chrX F5|X	0.0987655126862111	-2.31500679704505	23	1	0.00925925925925926	108	23952	14758	Gpm6b
mouse chr3 F2.3|3	mouse chr3 F2.3|3	0.106882500405869	-2.23602517495146	25	1	0.00925925925925926	108	23952	72121	Dennd2d
mouse chr1	mouse chr1	0.109084705765386	-2.21563058143852	1067	8	0.0740740740740741	108	23952	16978,16764,98366,12334,319997,30925,26921,12487	Lrrfip1,Aff3,Smap1,Capn2,A630001G21Rik,Slamf6,Map4k4,Cd28
mouse chr19|19 D1	mouse chr19|19 D1	0.110913791003927	-2.19900203704686	26	1	0.00925925925925926	108	23952	93679	Trim8
mouse chr1 C5|1	mouse chr1 C5|1	0.11492705316472	-2.16345767219192	27	1	0.00925925925925926	108	23952	319997	A630001G21Rik
mouse chr14 C2|14	mouse chr14 C2|14	0.11492705316472	-2.16345767219192	27	1	0.00925925925925926	108	23952	68514	Micu2
mouse chr16 B5|16	mouse chr16 B5|16	0.11892236677921	-2.12928437876968	28	1	0.00925925925925926	108	23952	208154	Btla
mouse chr15 A1|15	mouse chr15 A1|15	0.138632477790878	-1.97592889218122	33	1	0.00925925925925926	108	23952	66629	Golph3
mouse chr6 F2|6	mouse chr6 F2|6	0.138632477790878	-1.97592889218122	33	1	0.00925925925925926	108	23952	69202	Ptms
mouse chr3 B|3	mouse chr3 B|3	0.142521757962488	-1.94826060347292	34	1	0.00925925925925926	108	23952	60505	Il21
mouse chr11	mouse chr11	0.148016493620071	-1.91043156804852	1521	10	0.0925925925925926	108	23952	21973,18750,74315,12006,74479,246177,74203,268512,53860,53625	Top2a,Prkca,Rnf145,Axin2,Snx11,Myo1g,Eif4enif1,Slc26a11,Sept9,B3gnt2
mouse chr16	mouse chr16	0.149429849248867	-1.90092823207049	621	5	0.0462962962962963	108	23952	21844,208154,223989,12053,17470	Tiam1,Btla,Marf1,Bcl6,Cd200
mouse chr10 A1|10	mouse chr10 A1|10	0.150248197959058	-1.89546669925566	36	1	0.00925925925925926	108	23952	237256	Zc3h12d
mouse chr10 B1|10	mouse chr10 B1|10	0.150248197959058	-1.89546669925566	36	1	0.00925925925925926	108	23952	319638	Nt5dc1
mouse chr15 D1|15	mouse chr15 D1|15	0.154085511645791	-1.87024756024687	37	1	0.00925925925925926	108	23952	74868	Tmem65
mouse chr2 G3|2	mouse chr2 G3|2	0.157905656532161	-1.84575753485262	38	1	0.00925925925925926	108	23952	14225	Fkbp1a
mouse chr4 A1|4	mouse chr4 A1|4	0.161708708688509	-1.82195865677752	39	1	0.00925925925925926	108	23952	252838	Tox
mouse chr13 A1|13	mouse chr13 A1|13	0.173016064776602	-1.75437082881522	42	1	0.00925925925925926	108	23952	56421	Pfkp
mouse chr6 E3|6	mouse chr6 E3|6	0.18047021876622	-1.71218950780697	44	1	0.00925925925925926	108	23952	101314	Brk1
mouse chr18 E1|18	mouse chr18 E1|18	0.18047021876622	-1.71218950780697	44	1	0.00925925925925926	108	23952	240354	Malt1
mouse chr15|15	mouse chr15|15	0.190080760457766	-1.66030624209108	177	2	0.0185185185185185	108	23952	78541,13196	Asb8,Asap1
mouse chr9 A5.3|9	mouse chr9 A5.3|9	0.191526810261621	-1.65272747879455	47	1	0.00925925925925926	108	23952	18985	Pou2af1
mouse chr16 A1|16	mouse chr16 A1|16	0.191526810261621	-1.65272747879455	47	1	0.00925925925925926	108	23952	223989	Marf1
mouse chr5|5	mouse chr5|5	0.193339905525542	-1.64330547058994	179	2	0.0185185185185185	108	23952	19247,67878	Ptpn11,Tmem33
mouse chr14	mouse chr14	0.197952914610371	-1.61972608156582	686	5	0.0462962962962963	108	23952	321019,210789,14702,13135,68514	Gpr183,Tbc1d4,Gng2,Dad1,Micu2
mouse chr6	mouse chr6	0.207135143894836	-1.57438382968588	1068	7	0.0648148148148148	108	23952	12504,110157,11677,54484,69202,232201,101314	Cd4,Raf1,Akr1b3,Mkrn1,Ptms,Arhgap25,Brk1
mouse chr10 D2|10	mouse chr10 D2|10	0.21675410251737	-1.52899173608483	54	1	0.00925925925925926	108	23952	432508	Cpsf6
mouse chr6 D1|6	mouse chr6 D1|6	0.237755669902397	-1.43651172967109	60	1	0.00925925925925926	108	23952	232201	Arhgap25
mouse chr9 F2|9	mouse chr9 F2|9	0.251445771868712	-1.3805279315037	64	1	0.00925925925925926	108	23952	97541	Qars
mouse chr19 C3|19	mouse chr19 C3|19	0.258199186942437	-1.35402394951941	66	1	0.00925925925925926	108	23952	107338	Gbf1
mouse chr6 B1|6	mouse chr6 B1|6	0.261553222273965	-1.34111748932566	67	1	0.00925925925925926	108	23952	54484	Mkrn1
mouse chr11 A1|11	mouse chr11 A1|11	0.271525442287743	-1.30369943391489	70	1	0.00925925925925926	108	23952	246177	Myo1g
mouse chr1 B|1	mouse chr1 B|1	0.27481977491524	-1.29163976010497	71	1	0.00925925925925926	108	23952	26921	Map4k4
mouse chr9|9	mouse chr9|9	0.297975010679046	-1.21074565277463	242	2	0.0185185185185185	108	23952	23959,72654	Nt5e,Ccdc12
mouse chr2 H4|2	mouse chr2 H4|2	0.313218988063365	-1.16085269070264	83	1	0.00925925925925926	108	23952	228960	Stx16
mouse chr1 D|1	mouse chr1 D|1	0.32249968617456	-1.13165311584892	86	1	0.00925925925925926	108	23952	16978	Lrrfip1
